Rec,Inf,Name,Based,Club,Division,Expires,Wage,Age,Height,Personality,Preferred Foot,UID,Best Pos,Min WD,Max WD,Clean Sheets,Cln/90,Con/90,xA,xA/90,xG-OP,xG/90,Gls,Conc,Gls/90,Mins,NP-xG,NP-xG/90,Pens,Pens Faced,Pens Saved,Pens Saved Ratio,Pens S,Pen/R,Tgls/90,Tcon,Tcon/90,Saves/90,xG,Ch C/90,CCC,Clear,Clr/90,Conv %,Cr C/A,Cr A,Crs A/90,Cr C,Cr C/90,Distance,Dist/90,Drb,Drb/90,xG/shot,xGP,xGP/90,xSv %,Position,Blk,Blk/90,Asts/90,Hdrs L/90,Hdrs,Hdrs W/90,Hdr %,Sprints/90,Itc,Int/90,Off,Pas %,Pas A,Ps A/90,Ps C,Ps C/90,Poss Lost/90,Poss Won/90,Pres A,Pres A/90,Pres C,Pres C/90,Pr Passes,Pr passes/90,Sv %,Svh,Svp,Svt,Shots,Shts Blckd,Shts Blckd/90,Shots Outside Box/90,ShT,ShT/90,Shot %,Shot/90,Tck R,Tck A,Tck W,Tck/90,OP-KP/90,OP-KP,OP-Crs C/90,OP-Crs C,OP-Crs A/90,OP-Crs A,OP-Cr %,Gl Mst,K Tck/90,K Tck,K Ps/90,K Pas,K Hdrs/90,Goals Outside Box,FK Shots,Aer A/90,Hdrs A
- -  -,Lst,Reice Charles-Cook,England (Vanarama North),Hartlepool,Vanarama National League North,30/6/2027,€650 p/w,33,"6'1""",,Unknown,28059219,GK,N/A,N/A,6,0.35,1.18,0.18,0.01,0.00,0.00,0,20,-,"1,530",0.00,0.00,0,3,0,0%,0,-,2.41,20,1.18,2,0.00,0.06,1,-,10.00,-,-,-,-,-,-,105.8km,6.2km,0,-,0.00,-0.06,-0.00,84%,GK,-,-,-,-,-,-,-,0.18,6,0.35,0,39%,341,20.06,133,7.82,14.47,6.41,0,0.00,0,0.00,20,1.18,77%,25,20,4,0,-,-,-,-,-,-,-,0%,3,0,0.00,0.06,1,-,-,-,-,-,1,0.00,0,0.06,1,0.00,-,-,-,-
- -  -,Ctr,Yalany Baio,Wales (JD Cymru North),Gresford,JD Cymru North,-,N/A,32,"5'9""",,Unknown,28066222,-,N/A,N/A,-,-,-,2.57,0.08,4.61,0.04,6,-,0.19,"2,797",1.39,0.04,0,-,-,-,0,-,0.03,-,0.23,-,1.39,-,0,2,0.06,46%,33%,3,0.10,1,0.03,24.8km,0.8km,0,-,0.11,-,-,-,DM,0,-,0.10,0.26,3,0.10,27%,0.48,1,0.03,0,72%,665,21.40,478,15.38,0.97,1.51,21,0.68,9,0.29,13,0.42,-,-,-,-,13,0,0.00,0.00,6,0.19,46%,0.42,90%,59,53,1.71,0.10,3,0.03,1,0.10,3,33%,0,0.00,0,0.10,3,0.03,0,0,0.35,11
- -  -,Ama,Steven Kinsella,Ireland (Munster Second Division),Lucan Utd,Irish Munster Senior League Second Division,-,N/A,28,"5'11""",,Unknown,28100150,-,N/A,N/A,-,-,-,1.44,0.21,-0.36,0.05,0,-,-,630,0.36,0.05,0,-,-,-,0,-,0.00,-,0.00,-,0.36,-,0,0,0.00,-,-,0,0.00,0,0.00,0.0km,0.0km,0,-,0.18,-,-,-,AM (RL),0,-,-,-,-,-,-,0.00,0,-,0,68%,140,20.00,95,13.57,0.00,0.00,0,0.00,0,0.00,0,0.00,-,-,-,-,2,0,0.00,0.00,0,0.00,0%,0.29,86%,7,6,0.86,0.00,0,0.00,0,0.00,0,-,0,0.00,0,-,0,0.00,0,0,-,0
- -  -,Ama,Philip Gannon,Ireland (Munster Premier Division),Tolka Rovers,Irish Munster Senior League Premier Division,-,N/A,30,"6'1""",,Unknown,28100543,-,N/A,N/A,-,-,-,0.10,0.02,-1.20,0.23,0,-,-,468,1.20,0.23,0,-,-,-,0,-,0.00,-,0.00,-,1.20,-,0,0,0.00,-,-,0,0.00,0,0.00,0.0km,0.0km,0,-,0.40,-,-,-,"DM, M (C)",0,-,0.19,-,-,-,-,0.00,0,-,0,70%,120,23.08,84,16.15,0.00,0.00,0,0.00,0,0.00,0,0.00,-,-,-,-,3,0,0.00,0.00,0,0.00,0%,0.58,92%,13,12,2.31,0.00,0,0.00,0,0.00,0,-,0,0.00,0,-,0,0.00,0,0,-,0
- - B- -,,Jordan Cropper,England (Vanarama North),Marine,Vanarama National League North,30/6/2027,€325 p/w,26,"5'11""",,Right,28116338,D (R),-,-,-,-,-,1.70,0.08,-0.21,0.01,0,-,-,"2,014",0.21,0.01,0,-,-,-,0,-,0.71,-,2.06,-,0.21,0.22,5,45,2.01,-,16%,44,1.97,7,0.31,275.3km,12.3km,3,0.13,0.03,-,-,-,D/WB/M (R),21,0.94,0.04,3.84,128,5.72,60%,9.65,50,2.23,1,83%,"1,049",46.88,867,38.74,11.48,14.97,195,8.71,63,2.82,80,3.57,-,-,-,-,6,6,0.27,0.18,2,0.09,33%,0.27,88%,69,61,2.73,0.67,15,0.22,5,1.34,30,16%,0,0.09,2,0.80,18,0.94,0,0,9.56,214
- - C- -,Lst,Rhys Hughes,England (Vanarama National),Tamworth,Vanarama National League,30/6/2028,€550 p/w,25,"6'1""",,Right,28122171,AM (R),-,-,-,-,-,1.42,0.09,-0.81,0.05,0,-,-,"1,374",0.81,0.05,0,-,-,-,0,-,0.85,-,1.51,-,0.81,0.07,1,21,1.38,-,8%,47,3.08,3,0.20,193.2km,12.7km,17,1.11,0.10,-,-,-,"M (C), AM (RLC)",3,0.20,0.20,3.60,13,0.85,19%,8.91,25,1.64,2,88%,624,40.87,549,35.96,16.38,5.70,130,8.52,44,2.88,45,2.95,-,-,-,-,8,0,0.00,0.07,2,0.13,25%,0.52,84%,31,26,1.70,1.38,21,0.13,2,1.64,25,6%,0,0.07,1,2.42,37,0.13,0,0,4.45,68
- -  -,Lst,Mauro Vilhete,England (Vanarama National),South Shields,Vanarama National League,30/6/2028,€500 p/w,33,"5'9""",,Unknown,29062002,-,N/A,N/A,-,-,-,2.39,0.12,2.88,0.05,4,-,0.19,"1,852",1.12,0.05,1,-,-,-,1,100%,1.31,-,1.31,-,1.12,0.24,5,16,0.78,27%,16%,272,13.22,40,1.94,252.3km,12.3km,40,1.94,0.07,-,-,-,M/AM (R),6,0.29,0.05,4.57,40,1.94,30%,10.21,38,1.85,7,84%,643,31.25,539,26.19,21.04,3.64,233,11.32,57,2.77,53,2.58,-,-,-,-,15,1,0.05,0.10,9,0.44,60%,0.73,87%,54,47,2.28,1.56,32,0.78,16,4.62,95,15%,0,0.00,0,1.90,39,0.00,0,0,6.51,134
- -  -,,David Ferguson,Wales (JD Cymru Premier),Colwyn Bay,JD Cymru Premier,30/6/2027,€425 p/w,32,"5'11""",,Unknown,29072753,-,N/A,N/A,-,-,-,1.54,0.12,-0.64,0.05,0,-,-,"1,152",0.64,0.05,0,-,-,-,0,-,1.09,-,0.86,-,0.64,0.16,2,33,2.58,-,6%,78,6.09,7,0.55,144.6km,11.3km,5,0.39,0.13,-,-,-,"D (LC), WB/M (L)",15,1.17,0.08,2.03,52,4.06,67%,9.38,17,1.33,2,82%,607,47.42,495,38.67,11.88,11.41,86,6.72,24,1.88,63,4.92,-,-,-,-,5,8,0.62,0.16,0,0.00,0%,0.39,77%,35,27,2.11,0.94,12,0.16,2,2.34,30,9%,0,0.16,2,1.25,16,0.31,0,0,6.09,78
- - D -,,Declan John,England (Vanarama North),Radcliffe,Vanarama National League North,30/6/2027,€350 p/w,31,"5'10""",Balanced,Left,29083643,M (L),€550 p/w,€750 p/w,-,-,-,4.70,0.13,-1.24,0.03,0,-,-,"3,347",1.24,0.03,0,-,-,-,0,-,1.18,-,1.59,-,1.24,0.35,13,50,1.34,-,10%,242,6.51,26,0.70,476.4km,12.8km,53,1.43,0.07,-,-,-,D/WB/M/AM (L),35,0.94,0.16,2.58,71,1.91,43%,14.52,77,2.07,3,86%,"1,514",40.71,"1,300",34.96,12.26,10.59,284,7.64,80,2.15,161,4.33,-,-,-,-,18,11,0.30,0.30,7,0.19,39%,0.48,78%,100,78,2.10,0.97,36,0.70,26,6.48,241,11%,1,0.08,3,0.99,37,0.19,0,0,4.49,167
- -  -,Req,Dillon Morse,England (Vanarama North),FC United,Vanarama National League North,30/6/2027,€475 p/w,32,"6'0""",,Unknown,29083671,D (C),N/A,N/A,-,-,-,0.90,0.02,1.18,0.02,2,-,0.05,"3,996",0.82,0.02,0,-,-,-,0,-,1.04,-,1.58,-,0.82,0.05,2,94,2.12,40%,33%,3,0.07,1,0.02,473.6km,10.7km,1,0.02,0.16,-,-,-,D (C),22,0.50,0.05,1.98,209,4.71,70%,4.19,70,1.58,2,84%,"2,251",50.70,"1,889",42.55,8.36,11.78,111,2.50,37,0.83,148,3.33,-,-,-,-,5,16,0.36,0.00,3,0.07,60%,0.11,93%,40,37,0.83,0.18,8,0.02,1,0.07,3,33%,1,0.27,12,0.18,8,0.70,0,0,6.69,297
