Rec,Inf,Name,Based,Club,Division,Expires,Wage,Age,Height,Personality,Preferred Foot,UID,Best Pos,Min WD,Max WD,Clean Sheets,Cln/90,Con/90,xA,xA/90,xG-OP,xG/90,Gls,Conc,Gls/90,Mins,NP-xG,NP-xG/90,Pens,Pens Faced,Pens Saved,Pens Saved Ratio,Pens S,Pen/R,Tgls/90,Tcon,Tcon/90,Saves/90,xG,Ch C/90,CCC,Clear,Clr/90,Conv %,Cr C/A,Cr A,Crs A/90,Cr C,Cr C/90,Distance,Dist/90,Drb,Drb/90,xG/shot,xGP,xGP/90,xSv %,Position,Blk,Blk/90,Asts/90,Hdrs L/90,Hdrs,Hdrs W/90,Hdr %,Sprints/90,Itc,Int/90,Off,Pas %,Pas A,Ps A/90,Ps C,Ps C/90,Poss Lost/90,Poss Won/90,Pres A,Pres A/90,Pres C,Pres C/90,Pr Passes,Pr passes/90,Sv %,Svh,Svp,Svt,Shots,Shts Blckd,Shts Blckd/90,Shots Outside Box/90,ShT,ShT/90,Shot %,Shot/90,Tck R,Tck A,Tck W,Tck/90,OP-KP/90,OP-KP,OP-Crs C/90,OP-Crs C,OP-Crs A/90,OP-Crs A,OP-Cr %,Gl Mst,K Tck/90,K Tck,K Ps/90,K Pas,K Hdrs/90,Goals Outside Box,FK Shots,Aer A/90,Hdrs A
- -  -,,Ayo Shogbeni,Wales (JD Cymru Premier),Connah's Quay,JD Cymru Premier,30/6/2027,€120 p/w,23,"6'4""",,Unknown,29236282,-,N/A,N/A,-,-,-,0.07,0.01,0.82,0.03,1,-,0.15,614,0.18,0.03,0,-,-,-,0,-,1.17,-,0.88,-,0.18,-,0,14,2.05,33%,-,0,0.00,0,0.00,72.8km,10.7km,0,-,0.06,-,-,-,D (C),1,0.15,-,1.47,46,6.74,82%,3.66,5,0.73,0,82%,322,47.20,264,38.70,5.57,11.58,19,2.79,6,0.88,22,3.22,-,-,-,-,3,1,0.15,0.29,2,0.29,67%,0.44,100%,7,7,1.03,0.15,1,0.00,0,0.00,0,-,0,0.00,0,0.15,1,1.32,0,0,8.21,56
- -  -,Ama,John Currie,Ireland (Galway Premier Division),Galway Hibs,Irish Galway Junior Premier Division,-,N/A,33,"5'6""",,Unknown,52045650,-,N/A,N/A,-,-,-,0.25,0.04,-0.05,0.01,0,-,-,630,0.05,0.01,0,-,-,-,0,-,0.00,-,0.00,-,0.05,-,0,0,0.00,-,-,0,0.00,0,0.00,0.0km,0.0km,0,-,0.05,-,-,-,M (C),0,-,-,-,-,-,-,0.00,0,-,0,69%,140,20.00,96,13.71,0.00,0.00,0,0.00,0,0.00,0,0.00,-,-,-,-,1,0,0.00,0.00,0,0.00,0%,0.14,81%,21,17,2.43,0.00,0,0.00,0,0.00,0,-,0,0.00,0,-,0,0.00,0,0,-,0
- -  -,Ama,Tony Whitehead,Ireland (Munster First Division),Ringmahon,Irish Munster Senior League First Division,-,N/A,31,"6'0""",,Unknown,52064791,-,N/A,N/A,-,-,-,0.02,0.00,-0.71,0.13,0,-,-,479,0.71,0.13,0,-,-,-,0,-,1.50,-,2.07,-,0.71,-,0,14,2.63,-,-,0,0.00,0,0.00,54.6km,10.3km,0,-,0.14,-,-,-,"D (C), DM",5,0.94,-,2.07,29,5.45,73%,5.45,6,1.13,0,75%,269,50.54,202,37.95,2.82,16.53,21,3.95,7,1.32,22,4.13,-,-,-,-,5,10,1.88,0.19,3,0.56,60%,0.94,88%,8,7,1.32,0.56,3,0.00,0,0.00,0,-,0,0.19,1,0.94,5,0.38,0,0,7.52,40
- -  -,,Jamie Hollywood,Ireland (First Division),Finn Harps,Irish First Division,30/11/2027,€250 p/w,29,"6'0""",,Unknown,52071093,-,N/A,N/A,-,-,-,2.04,0.20,0.94,0.01,1,-,0.10,915,0.06,0.01,0,-,-,-,0,-,0.69,-,1.38,-,0.06,-,0,8,0.79,25%,22%,28,2.75,4,0.39,121.6km,12.0km,8,0.79,0.01,-,-,-,M/AM (C),2,0.20,0.10,2.07,18,1.77,46%,8.56,15,1.48,0,82%,448,44.07,368,36.20,15.34,7.08,94,9.25,29,2.85,38,3.74,-,-,-,-,4,0,0.00,0.30,1,0.10,25%,0.39,65%,23,15,1.48,0.69,7,0.20,2,0.89,9,14%,0,0.10,1,0.69,7,0.10,0,0,3.84,39
- -  -,Ama,Richie Purdy,Ireland (Leinster First Division),Liffey Wanderers,Irish Leinster Senior League First Division,-,N/A,29,"5'11""",,Unknown,52071172,-,N/A,N/A,-,-,-,1.27,0.18,-0.40,0.06,0,-,-,630,0.40,0.06,0,-,-,-,0,-,0.14,-,0.29,-,0.40,0.29,2,1,0.14,-,-,0,0.00,0,0.00,11.2km,1.6km,1,0.14,0.10,-,-,-,M (C),1,0.14,0.43,-,2,0.29,100%,1.14,3,0.43,0,81%,159,22.71,129,18.43,1.71,4.14,10,1.43,1,0.14,1,0.14,-,-,-,-,4,0,0.00,0.00,0,0.00,0%,0.57,87%,15,13,1.86,0.00,0,0.00,0,0.00,0,-,0,0.00,0,-,0,0.00,0,0,0.29,2
- -  -,Ama,Adrian Delap,Ireland (Irish Lower Division),Letterkenny,Irish Lower Division,-,N/A,28,"5'10""",,Unknown,52075367,-,N/A,N/A,-,-,-,0.70,0.15,-0.17,0.04,0,-,-,417,0.17,0.04,0,-,-,-,0,-,0.65,-,3.02,-,0.17,0.65,3,5,1.08,-,18%,27,5.83,5,1.08,61.7km,13.3km,4,0.86,0.17,-,-,-,M/AM (RL),0,-,-,3.88,11,2.37,38%,12.95,4,0.86,1,83%,141,30.43,117,25.25,11.65,7.34,40,8.63,13,2.81,18,3.88,-,-,-,-,1,0,0.00,0.00,0,0.00,0%,0.22,92%,13,12,2.59,2.37,11,1.08,5,5.83,27,19%,0,0.00,0,2.37,11,0.00,0,0,6.26,29
- -  -,Ama,Craig Donnellan,Ireland (Munster Premier Division),Col Corinthians,Irish Munster Senior League Premier Division,-,N/A,30,"5'9""",,Unknown,52075456,-,N/A,N/A,-,-,-,0.39,0.06,-0.07,0.01,0,-,-,570,0.07,0.01,0,-,-,-,0,-,0.16,-,0.16,-,0.07,-,0,1,0.16,-,-,1,0.16,0,0.00,16.8km,2.7km,0,-,0.07,-,-,-,"DM, M (C)",0,-,-,0.63,0,0.00,0%,2.05,0,-,0,77%,163,25.74,126,19.89,1.26,1.74,7,1.11,5,0.79,4,0.63,-,-,-,-,1,0,0.00,0.00,0,0.00,0%,0.16,100%,14,14,2.21,0.16,1,0.00,0,0.16,1,0%,0,0.00,0,0.16,1,0.00,0,0,0.63,4
- -  -,Ama,Shane Daly-Butz,Ireland (Munster Premier Division),Col Corinthians,Irish Munster Senior League Premier Division,-,N/A,30,"6'0""",,Unknown,52075505,-,N/A,N/A,-,-,-,0.17,0.03,-1.01,0.16,0,-,-,570,1.01,0.16,0,-,-,-,0,-,0.16,-,0.16,-,1.01,-,0,0,0.00,-,-,4,0.63,0,0.00,19.5km,3.1km,4,0.63,0.14,-,-,-,M/AM (L),0,-,0.16,0.95,5,0.79,45%,2.68,0,-,1,80%,143,22.58,115,18.16,2.21,0.79,17,2.68,5,0.79,4,0.63,-,-,-,-,7,0,0.00,0.00,2,0.32,29%,1.11,62%,13,8,1.26,0.47,3,0.00,0,0.63,4,0%,0,0.00,0,0.63,4,0.00,0,0,1.74,11
- -  -,Ama,Ahu Obhakhan,Ireland (Leinster First Division),Glebe North,Irish Leinster Senior League First Division,-,N/A,29,"6'2""",,Unknown,52075618,-,N/A,N/A,-,-,-,0.22,0.04,1.07,0.32,3,-,0.50,540,1.93,0.32,0,-,-,-,0,-,0.00,-,0.00,-,1.93,-,0,0,0.00,19%,-,0,0.00,0,0.00,0.0km,0.0km,0,-,0.12,-,-,-,"AM (RL), ST (C)",0,-,0.17,-,-,-,-,0.00,0,-,0,60%,120,20.00,72,12.00,0.00,0.00,0,0.00,0,0.00,0,0.00,-,-,-,-,16,0,0.00,0.00,7,1.17,44%,2.67,80%,10,8,1.33,0.00,0,0.00,0,0.00,0,-,0,0.00,0,-,0,0.00,0,0,-,0
- -  -,Ama,Shane Barnes,Ireland (Leinster Premier Division),Crumlin Utd,Irish Leinster Senior League Premier Division,-,N/A,29,"5'9""",,Unknown,52078593,-,N/A,N/A,-,-,-,1.66,0.19,1.19,0.32,4,-,0.46,781,2.81,0.32,1,-,-,-,1,100%,1.15,-,2.42,-,2.81,0.46,4,4,0.46,16%,-,3,0.35,0,0.00,95.4km,11.0km,5,0.58,0.11,-,-,-,ST (C),3,0.35,0.23,8.53,15,1.73,17%,4.96,11,1.27,8,87%,192,22.13,167,19.24,18.55,3.57,51,5.88,9,1.04,4,0.46,-,-,-,-,25,0,0.00,1.04,11,1.27,44%,2.88,60%,5,3,0.35,0.58,5,0.00,0,0.35,3,0%,0,0.00,0,0.92,8,0.12,0,0,10.26,89
- -  -,Ama,Paul Fox,Ireland (Leinster First Division),Liffey Wanderers,Irish Leinster Senior League First Division,-,N/A,28,"5'8""",,Unknown,52081892,-,N/A,N/A,-,-,-,1.44,0.21,-0.33,0.05,0,-,-,630,0.33,0.05,0,-,-,-,0,-,0.14,-,0.29,-,0.33,-,0,1,0.14,-,-,3,0.43,0,0.00,15.0km,2.1km,2,0.29,0.08,-,-,-,M/AM (L),0,-,0.14,0.43,3,0.43,50%,2.14,2,0.29,0,68%,150,21.43,102,14.57,1.86,1.14,8,1.14,2,0.29,4,0.57,-,-,-,-,4,0,0.00,0.00,2,0.29,50%,0.57,92%,13,12,1.71,0.43,3,0.00,0,0.43,3,0%,0,0.00,0,0.43,3,0.00,0,0,0.86,6
- -  -,Ama,Alan Murphy,Ireland (Limerick Desmond League),Newcastle West Town,Irish Limerick Desmond League Premier Division,-,N/A,29,"6'1""",,Unknown,52090507,-,N/A,N/A,-,-,-,0.53,0.08,1.35,0.09,2,-,0.29,630,0.65,0.09,0,-,-,-,0,-,0.00,-,0.00,-,0.65,-,0,0,0.00,40%,-,0,0.00,0,0.00,0.0km,0.0km,0,-,0.13,-,-,-,M/AM (L),0,-,-,-,-,-,-,0.00,0,-,0,69%,140,20.00,96,13.71,0.00,0.00,0,0.00,0,0.00,0,0.00,-,-,-,-,5,0,0.00,0.00,1,0.14,20%,0.71,86%,7,6,0.86,0.00,0,0.00,0,0.00,0,-,0,0.00,0,-,0,0.00,0,0,-,0
- -  -,,Kieran Farren,England (Vanarama North),Scarborough Athletic,Vanarama National League North,30/6/2027,€275 p/w,26,"6'2""",,Unknown,52096232,D (C),N/A,N/A,-,-,-,0.77,0.03,-0.93,0.03,0,-,-,"2,642",0.93,0.03,0,-,-,-,0,-,1.81,-,1.02,-,0.93,0.14,4,52,1.77,-,6%,59,2.01,4,0.14,332.4km,11.3km,12,0.41,0.08,-,-,-,D (RC),11,0.37,0.07,3.54,112,3.82,52%,6.34,75,2.55,2,87%,"1,782",60.70,"1,550",52.80,11.17,13.08,128,4.36,46,1.57,168,5.72,-,-,-,-,11,8,0.27,0.17,1,0.03,9%,0.37,73%,60,44,1.50,0.51,15,0.14,4,2.01,59,7%,1,0.27,8,0.51,15,0.37,0,0,7.36,216
- -  -,Ama,Gareth McCaffrey,Ireland (Leinster Premier Division),St. Mochtas,Irish Leinster Senior League Premier Division,-,N/A,31,"5'10""",,Unknown,61064594,-,N/A,N/A,-,-,-,0.72,0.13,1.96,0.36,4,-,0.70,515,2.04,0.36,1,-,-,-,1,100%,1.22,-,2.10,-,2.04,-,0,2,0.35,33%,-,4,0.70,0,0.00,63.5km,11.1km,5,0.87,0.17,-,-,-,ST (C),2,0.35,-,9.44,16,2.80,23%,5.07,5,0.87,4,87%,119,20.80,103,18.00,15.38,4.19,34,5.94,5,0.87,3,0.52,-,-,-,-,12,0,0.00,0.35,7,1.22,58%,2.10,100%,6,6,1.05,0.35,2,0.00,0,0.70,4,0%,0,0.00,0,0.70,4,0.00,0,0,12.23,70
- -  -,Ama,Eliot Evans,Wales (JD Cymru South),Cardiff Met Uni,JD Cymru South,-,N/A,35,"5'10""",,Unknown,74046023,-,N/A,N/A,-,-,-,1.75,0.14,-3.28,0.27,0,-,-,"1,109",3.28,0.27,0,-,-,-,0,-,0.32,-,0.00,-,3.28,0.16,2,1,0.08,-,-,11,0.89,0,0.00,24.6km,2.0km,5,0.41,0.15,-,-,-,M/AM (R),2,0.16,0.57,0.41,7,0.57,58%,1.79,2,0.16,0,70%,348,28.24,242,19.64,1.54,0.57,16,1.30,4,0.32,7,0.57,-,-,-,-,22,0,0.00,0.16,5,0.41,23%,1.79,83%,23,19,1.54,0.32,4,0.00,0,0.89,11,0%,0,0.00,0,0.89,11,0.00,0,0,0.97,12
- -  -,,Connor Wood,England (Vanarama North),Macclesfield,Vanarama National League North,30/6/2027,€400 p/w,30,"5'10""",,Unknown,89044950,D/WB (RL),N/A,N/A,-,-,-,4.36,0.10,1.94,0.12,7,-,0.16,"3,920",1.90,0.04,4,-,-,-,3,75%,1.01,-,2.07,-,5.06,0.23,10,97,2.23,16%,16%,283,6.50,49,1.12,553.9km,12.7km,24,0.55,0.12,-,-,-,D/WB (L),40,0.92,0.14,2.59,107,2.46,49%,14.83,68,1.56,6,81%,"2,005",46.03,"1,632",37.47,13.59,12.21,347,7.97,97,2.23,210,4.82,-,-,-,-,43,15,0.34,0.83,20,0.46,47%,0.99,80%,172,137,3.15,0.69,30,0.48,21,2.94,128,17%,3,0.09,4,1.52,66,0.46,4,29,5.05,220
- -  -,Wnt,Josh Leslie-Smith,Wales (JD Cymru Premier),Caernarfon,JD Cymru Premier,-,N/A,27,"6'2""",,Unknown,89061775,-,N/A,N/A,-,-,-,0.00,0.00,0.00,0.00,0,-,-,170,0.00,0.00,0,-,-,-,0,-,1.06,-,0.53,-,0.00,-,0,2,1.06,-,-,3,1.59,0,0.00,21.0km,11.1km,1,0.53,0.00,-,-,-,D (RC),0,-,-,3.18,10,5.29,63%,8.47,3,1.59,0,83%,96,50.82,80,42.35,6.35,7.41,8,4.24,2,1.06,10,5.29,-,-,-,-,0,0,0.00,0.00,-,-,-,-,100%,3,3,1.59,0.53,1,0.00,0,1.59,3,0%,0,1.06,2,0.53,1,0.00,0,0,8.47,16
- -  -,Ama,Amarie Brown,Wales (JD Cymru Premier),Bala,JD Cymru Premier,-,N/A,23,"5'9""",,Unknown,2000025510,-,N/A,N/A,-,-,-,1.45,0.22,-1.42,0.22,0,-,-,591,1.42,0.22,0,-,-,-,0,-,1.22,-,1.07,-,1.42,0.46,3,4,0.61,-,11%,117,17.82,14,2.13,77.5km,11.8km,16,2.44,0.18,-,-,-,M (R),2,0.30,0.15,4.57,13,1.98,30%,10.20,14,2.13,2,84%,239,36.40,201,30.61,13.10,5.63,71,10.81,18,2.74,16,2.44,-,-,-,-,8,0,0.00,0.46,1,0.15,13%,1.22,93%,14,13,1.98,0.76,5,0.46,3,4.11,27,12%,0,0.15,1,0.76,5,0.00,0,0,6.55,43
- -  -,Wnt,Bailey Sloane,England (Vanarama North),Boston Utd,Vanarama National League North,30/6/2027,€300 p/w,24,"6'3""",Balanced,Left,2000030153,D (C),€190 p/w,€275 p/w,-,-,-,0.10,0.02,-0.32,0.05,0,-,-,563,0.32,0.05,0,-,-,-,0,-,1.60,-,1.92,-,0.32,-,0,12,1.92,-,-,7,1.12,0,0.00,69.2km,11.1km,0,-,0.11,-,-,-,D (LC),3,0.48,-,2.24,31,4.96,69%,4.32,12,1.92,0,84%,373,59.63,312,49.88,8.95,14.87,26,4.16,13,2.08,38,6.07,-,-,-,-,3,1,0.16,0.16,1,0.16,33%,0.48,100%,9,9,1.44,0.32,2,0.00,0,0.96,6,0%,1,0.00,0,0.32,2,0.48,0,0,7.19,45
- -  -,,Kaya Tshaka,England (Vanarama North),Macclesfield,Vanarama National League North,30/6/2027,€275 p/w,23,"5'9""",,Right,2000031616,DM,-,-,-,-,-,0.55,0.03,-0.78,0.04,0,-,-,"1,731",0.78,0.04,0,-,-,-,0,-,0.78,-,1.92,-,0.78,0.05,1,34,1.77,-,7%,13,0.68,1,0.05,246.3km,12.8km,8,0.42,0.09,-,-,-,DM,7,0.36,-,2.65,16,0.83,24%,13.78,37,1.92,0,83%,727,37.80,603,31.35,9.15,7.80,182,9.46,47,2.44,46,2.39,-,-,-,-,9,2,0.10,0.26,3,0.16,33%,0.47,67%,61,41,2.13,0.10,2,0.05,1,0.68,13,8%,0,0.05,1,0.10,2,0.05,0,0,3.48,67
- -  -,Loa,Cal Gilliead,England (Vanarama National),South Shields,Vanarama National League,30/6/2027,€6 p/w,18,"5'5""",,Unknown,2000034882,-,N/A,N/A,-,-,-,0.00,-,0.00,-,0,-,-,15,0.00,-,0,-,-,-,0,-,-,-,-,-,0.00,-,0,0,-,-,-,0,-,0,-,1.1km,-,0,-,0.00,-,-,-,M (C),0,-,-,-,1,-,50%,-,0,-,0,100%,3,-,3,-,-,-,1,-,0,-,0,-,-,-,-,-,0,0,-,-,-,-,-,-,-,0,-,-,-,0,-,0,-,0,-,0,-,0,-,0,-,0,0,-,2
- -  -,Loa,Jack Hall,England (Vanarama South),Maidenhead,Vanarama National League South,30/6/2027,€6 p/w,18,"5'10""",,Unknown,2000046930,"M/AM (RL), ST (RL)",N/A,N/A,-,-,-,0.00,-,-0.46,-,0,-,-,57,0.46,-,0,-,-,-,0,-,-,-,-,-,0.46,-,0,0,-,-,-,1,-,0,-,6.5km,-,0,-,0.12,-,-,-,ST (C),0,-,-,-,2,-,29%,-,0,-,1,85%,13,-,11,-,-,-,4,-,1,-,0,-,-,-,-,-,4,0,-,-,1,-,25%,-,100%,1,1,-,-,0,-,0,-,1,0%,0,-,0,-,0,-,0,0,-,7
- -  -,Loa,Wayne Sinclair,England (Vanarama South),Maidenhead,Vanarama National League South,30/6/2027,€6 p/w,18,"6'2""",,Unknown,2000050283,D (C),N/A,N/A,-,-,-,0.00,-,0.00,-,0,-,-,23,0.00,-,0,-,-,-,0,-,-,-,-,-,0.00,-,0,0,-,-,-,0,-,0,-,2.8km,-,0,-,0.00,-,-,-,D (R),0,-,-,-,2,-,67%,-,0,-,0,69%,13,-,9,-,-,-,1,-,0,-,1,-,-,-,-,-,0,0,-,-,-,-,-,-,100%,1,1,-,-,0,-,0,-,0,-,0,-,0,-,0,-,0,0,-,3
- -  -,Ama,Jóhann Þór Lapas,Ireland (Leinster Senior 1B),Dublin University,Irish Leinster Senior League 1B,-,N/A,24,"6'4""",,Unknown,2000054515,-,N/A,N/A,1,0.17,1.67,0.00,0.00,0.00,0.00,0,10,-,540,0.00,0.00,0,0,0,-,0,-,0.00,0,0.00,-,0.00,-,0,-,0.00,-,-,-,-,-,-,0.0km,0.0km,0,-,0.00,0.00,0.00,0%,GK,-,-,-,-,-,-,-,0.00,0,-,0,58%,120,20.00,70,11.67,0.00,0.00,0,0.00,0,0.00,0,0.00,0%,0,0,0,0,-,-,-,-,-,-,-,-,0,-,-,0.00,0,-,-,-,-,-,0,0.00,0,-,0,0.00,-,-,-,-
- -  -,Ctr,Matthew Castillo-Anderson,England (Vanarama North),Macclesfield,Vanarama National League North,-,N/A,23,"5'3""",,Unknown,2000059795,"M (C), AM (RLC), ST (RL)",N/A,N/A,-,-,-,4.06,0.11,0.66,0.09,4,-,0.10,"3,464",3.34,0.09,0,-,-,-,0,-,1.01,-,1.90,-,3.34,0.26,10,28,0.73,13%,16%,38,0.99,8,0.21,487.6km,12.7km,52,1.35,0.11,-,-,-,M/AM (C),7,0.18,0.21,3.46,21,0.55,14%,10.91,60,1.56,3,85%,"1,408",36.58,"1,190",30.92,9.77,6.00,377,9.80,95,2.47,106,2.75,-,-,-,-,31,1,0.03,0.55,12,0.31,39%,0.81,72%,58,42,1.09,0.96,37,0.13,5,0.78,30,21%,1,0.03,1,1.04,40,0.00,2,0,4.00,154
- -  -,,Josh Johnson,England (Vanarama North),Macclesfield,Vanarama National League North,30/6/2027,€120 p/w,22,"5'11""",Fairly Professional,Right Only,2000102785,M (C),€450 p/w,€600 p/w,-,-,-,0.00,0.00,0.00,0.00,0,-,-,101,0.00,0.00,0,-,-,-,0,-,1.78,-,0.89,-,0.00,-,0,3,2.67,-,-,1,0.89,0,0.00,18.7km,16.7km,2,1.78,0.00,-,-,-,"DM, M (C)",0,-,-,3.56,2,1.78,33%,8.91,0,-,0,83%,42,37.43,35,31.19,9.80,7.13,17,15.15,8,7.13,9,8.02,-,-,-,-,0,0,0.00,0.00,-,-,-,-,60%,5,3,2.67,0.00,0,0.00,0,0.89,1,0%,0,0.00,0,-,0,0.00,0,0,5.35,6
- -  -,,Sam Green,Wales (JD Cymru Premier),Haverfordwest,JD Cymru Premier,30/6/2028,€150 p/w,22,"6'0""",,Unknown,2000106460,-,N/A,N/A,2,0.28,1.41,0.00,0.00,0.00,0.00,0,10,-,638,0.00,0.00,0,1,0,0%,0,-,1.27,10,1.41,1,0.00,-,0,-,8.75,-,-,-,-,-,-,39.1km,5.5km,0,-,0.00,-5.21,-0.73,90%,GK,-,-,-,-,-,-,-,0.00,0,-,0,48%,159,22.43,76,10.72,9.31,1.41,0,0.00,0,0.00,0,0.00,44%,2,4,2,0,-,-,-,-,-,-,-,0%,1,0,0.00,0.14,1,-,-,-,-,-,0,0.00,0,0.14,1,0.00,-,-,-,-
- -  -,Ctr,Jaheim Allen,England (Vanarama North),Macclesfield,Vanarama National League North,-,N/A,21,"5'7""",,Unknown,2000106692,"M/AM (RL), ST (RL)",N/A,N/A,-,-,-,4.45,0.12,-0.73,0.15,5,-,0.13,"3,406",5.73,0.15,0,-,-,-,0,-,0.87,-,1.93,-,5.73,0.21,8,45,1.19,15%,10%,221,5.84,23,0.61,492.3km,13.0km,123,3.25,0.17,-,-,-,AM (L),13,0.34,0.08,5.58,61,1.61,22%,16.59,65,1.72,10,83%,954,25.21,795,21.01,13.45,7.53,433,11.44,111,2.93,62,1.64,-,-,-,-,34,5,0.13,0.32,16,0.42,47%,0.90,82%,138,113,2.99,0.85,32,0.58,22,5.60,212,10%,0,0.03,1,0.90,34,0.03,0,0,7.19,272
- -  -,,Ryan Hand,England (Vanarama North),Marine,Vanarama National League North,30/6/2028,€450 p/w,22,"5'11""",,Unknown,2000110093,D (C),N/A,N/A,-,-,-,2.73,0.07,-0.13,0.03,1,-,0.03,"3,510",1.13,0.03,0,-,-,-,0,-,0.92,-,2.10,-,1.13,0.23,9,74,1.90,5%,18%,61,1.56,11,0.28,457.2km,11.7km,8,0.21,0.06,-,-,-,D (LC),42,1.08,0.10,2.95,296,7.59,72%,10.15,62,1.59,2,80%,"1,656",42.46,"1,325",33.97,12.05,13.18,300,7.69,88,2.26,157,4.03,-,-,-,-,19,14,0.36,0.05,7,0.18,37%,0.49,73%,154,113,2.90,0.59,23,0.28,11,1.54,60,18%,0,0.10,4,0.79,31,1.59,1,0,10.54,411
- -  -,,James Walsh,England (Vanarama North),Altrincham,Vanarama National League North,30/6/2027,€180 p/w,18,"6'4""",Unambitious,Right,2000116458,DM,€400 p/w,€550 p/w,-,-,-,1.06,0.17,-0.25,0.04,0,-,-,566,0.25,0.04,0,-,-,-,0,-,1.91,-,2.23,-,0.25,0.16,1,6,0.95,-,40%,5,0.80,2,0.32,74.7km,11.9km,3,0.48,0.06,-,-,-,"D (C), DM, M (C)",0,-,0.16,3.18,25,3.98,56%,8.59,5,0.80,2,83%,322,51.20,268,42.61,7.79,9.38,45,7.16,11,1.75,31,4.93,-,-,-,-,4,3,0.48,0.48,0,0.00,0%,0.64,79%,14,11,1.75,0.64,4,0.32,2,0.80,5,40%,0,0.00,0,0.80,5,0.80,0,0,7.16,45
- -  -,,Arjun Toor,England (Vanarama North),Macclesfield,Vanarama National League North,30/6/2028,€300 p/w,22,"5'10""",,Left,2000119481,ST (C),-,-,-,-,-,1.45,0.06,-0.32,0.31,7,-,0.30,"2,115",7.32,0.31,0,-,-,-,0,-,1.15,-,1.87,-,7.32,0.04,1,13,0.55,16%,10%,10,0.43,1,0.04,271.6km,11.6km,20,0.85,0.16,-,-,-,ST (C),3,0.13,0.04,10.68,84,3.57,25%,5.49,13,0.55,19,83%,514,21.87,428,18.21,7.91,3.45,95,4.04,21,0.89,10,0.43,-,-,-,-,45,0,0.00,0.85,19,0.81,42%,1.91,67%,21,14,0.60,0.38,9,0.04,1,0.43,10,10%,0,0.00,0,0.38,9,0.17,2,0,14.26,335
- -  -,,Sam Bentley,England (Vanarama North),Peterborough Sports,Vanarama National League North,30/6/2027,€170 p/w,21,"6'1""",,Unknown,2000123307,D (C),N/A,N/A,-,-,-,0.73,0.02,-1.43,0.03,0,-,-,"3,932",1.43,0.03,0,-,-,-,0,-,1.21,-,2.06,-,1.43,0.07,3,80,1.83,-,-,4,0.09,0,0.00,487.9km,11.2km,2,0.05,0.10,-,-,-,D (C),21,0.48,-,3.04,197,4.51,60%,7.81,40,0.92,1,80%,"1,875",42.92,"1,505",34.45,8.51,10.07,176,4.03,55,1.26,109,2.49,-,-,-,-,15,15,0.34,0.09,3,0.07,20%,0.34,83%,66,55,1.26,0.30,13,0.00,0,0.09,4,0%,2,0.39,17,0.32,14,1.01,0,0,7.55,330
- -  -,,Shannon Brown,England (Vanarama North),Macclesfield,Vanarama National League North,30/6/2027,€450 p/w,22,"5'2""",,Unknown,2000138733,"DM, M (C)",N/A,N/A,-,-,-,4.72,0.12,0.89,0.08,4,-,0.10,"3,504",1.52,0.04,2,-,-,-,2,100%,0.98,-,2.05,-,3.11,0.21,8,37,0.95,17%,12%,62,1.59,12,0.31,486.5km,12.5km,17,0.44,0.14,-,-,-,"DM, M (C)",11,0.28,0.10,2.39,36,0.92,28%,9.94,53,1.36,1,85%,"1,749",44.92,"1,489",38.24,8.35,7.83,367,9.43,94,2.41,156,4.01,-,-,-,-,23,6,0.15,0.41,9,0.23,39%,0.59,75%,87,65,1.67,0.95,37,0.05,2,0.41,16,19%,0,0.03,1,1.23,48,0.05,1,3,3.31,129
- -  -,,Sam Taylor,England (Vanarama North),Marine,Vanarama National League North,30/6/2027,€300 p/w,22,"6'1""",Balanced,Right,2000140595,GK,€275 p/w,€375 p/w,1,0.25,3.00,0.00,0.00,0.00,0.00,0,12,-,360,0.00,0.00,0,1,0,0%,0,-,1.25,12,3.00,2,0.00,-,0,-,8.75,-,-,-,-,-,-,16.6km,4.2km,0,-,0.00,-3.53,-0.88,76%,GK,-,-,-,-,-,-,-,0.25,1,0.25,0,36%,66,16.50,24,6.00,13.00,3.00,0,0.00,0,0.00,2,0.50,47%,5,3,3,0,-,-,-,-,-,-,-,0%,1,0,0.00,0.00,0,-,-,-,-,-,0,0.25,1,-,0,0.00,-,-,-,-
- -  -,Ctr,Aaron James,England (Vanarama South),Cirencester,Vanarama National League South,-,N/A,22,"6'0""",,Unknown,2000141052,D (C),N/A,N/A,-,-,-,0.12,0.02,0.96,0.01,1,-,0.16,565,0.04,0.01,0,-,-,-,0,-,0.96,-,1.27,-,0.04,-,0,12,1.91,50%,-,0,0.00,0,0.00,69.5km,11.1km,0,-,0.02,-,-,-,D (C),2,0.32,-,3.66,35,5.58,60%,4.94,11,1.75,1,77%,327,52.09,253,40.30,3.50,18.48,13,2.07,5,0.80,18,2.87,-,-,-,-,2,6,0.96,0.16,1,0.16,50%,0.32,80%,5,4,0.64,0.00,0,0.00,0,0.00,0,-,0,0.00,0,-,0,1.27,0,0,9.24,58
