UID,Name,Position,Age,Height,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Ps C/90,Pas %,Pr passes/90,xpG_diff,Sprints/90,Shot/90,Shot %
94044706,Ryan Hill,AM (RC),26,"5'10""",875,,30/6/2025,1667,Dag & Red,Vanarama National League,0,50,86.0,34.0,85.0,15.28,29.05,86.0,2.92,0.0,12.47,1.40,35%
29159021,Luke Russe,"DM, M (C)",24,"5'9""",575,,30/6/2026,2474,Bath City,Vanarama National League South,0,47,90.0,34.0,72.0,7.78,44.64,90.0,3.49,0.0,9.35,0.76,19%
2000060514,Jason Adigun,M/AM (C),20,"6'6""",400,,30/6/2025,3331,Hemel Hempstead,Vanarama National League South,0,50,86.0,34.0,71.0,14.48,38.42,86.0,3.67,0.08,7.86,1.43,34%
28049717,Lawson D'Ath,M (C),31,"5'9""",325,,30/6/2025,3358,Banbury,Vanarama National League North,0,44,85.0,32.0,76.0,8.01,38.35,85.0,4.1,0.04,7.1,1.39,33%
2000106594,Jerry Lawrence,"DM, M (C)",19,"5'7""",475,,30/6/2026,2647,Weymouth,Vanarama National League South,0,51,87.0,32.0,69.0,8.52,44.4,87.0,3.88,0.08,8.98,0.65,21%
2000225291,Ralfi Hand,"DM, M (C)",19,"6'0""",525,,30/6/2025,2079,Eastbourne Borough,Vanarama National League South,0,52,87.0,31.0,68.0,8.91,45.02,87.0,4.03,0.06,9.57,0.82,16%
28099485,Dan Pybus,"DM, M (C)",26,"5'10""",700,,30/6/2026,4256,Dorking,Vanarama National League,0,50,89.0,31.0,72.0,8.04,46.33,89.0,3.79,0.0,10.21,0.70,27%
29153889,Connor Kirby,M (C),25,"5'7""",525,,30/6/2025,2387,Buxton,Vanarama National League North,0,46,86.0,30.0,78.0,6.98,39.59,86.0,4.0,0.03,6.26,1.06,25%
95031504,Sam Corne,M (C),27,"5'7""",575,,30/6/2024,1602,Maidstone,Vanarama National League South,0,44,88.0,30.0,76.0,5.88,42.13,88.0,3.88,0.01,8.48,0.73,15%
28094827,Josh Smile,"DM, M (C)",27,"5'6""",300,,30/6/2024,3318,Gloucester,Vanarama National League North,0,48,89.0,27.0,79.0,7.21,42.69,89.0,3.2,0.02,9.52,1.08,23%
2000137628,Ash McCarthy,AM (L),19,"5'9""",400,,30/6/2025,2134,Eastbourne Borough,Vanarama National League South,0,52,84.0,26%,91.0,18.05,29.69,84.0,4.01,0.03,10.12,0.72,18%
29159367,Kyle Finn,"M (R), AM (RLC)",25,"5'10""",230,,30/6/2024,4425,Tamworth,Vanarama National League North,0,48,83.0,24.0,90.0,16.07,29.06,83.0,2.97,0.03,12.2,1.55,49%
74048740,Iwan Murray,M/AM (C),23,"5'5""",500,,30/6/2026,3779,Chester,Vanarama National League North,0,56,85.0,23.0,75.0,10.86,26.65,85.0,2.79,0.02,6.72,1.45,33%
29233762,Sam Leverett,M (C),21,"5'9""",170,,30/6/2025,1144,Farsley,Vanarama National League North,0,47,86.0,20.0,88.0,7.78,42.17,86.0,4.56,0.06,10.94,1.10,14%
2000103932,Josh Castiglione,AM (R),27,"5'6""",425,,30/6/2025,2860,Chelmsford,Vanarama National League South,0,52,85.0,19.0,66.0,14.7,27.6,85.0,2.74,0.01,11.27,1.01,28%
28127127,Oli Ewing,"DM, M (C)",21,"5'7""","1,500",,30/6/2024,2912,Chester,Vanarama National League North,0,56,89.0,19.0,82.0,8.16,40.33,89.0,4.54,0.01,8.5,0.62,45%
29236669,Cameron Wilson,AM (R),21,"5'11""",875,,30/6/2025,2591,Scunthorpe,Vanarama National League North,0,59,88.0,15.0,81.0,13.93,33.0,88.0,2.92,0.07,11.01,1.70,35%
90057559,Alex Newby,AM (RLC),28,"5'8""","1,700",,30/6/2025,1323,Altrincham,Vanarama National League,0,50,85.0,12.0,90.0,15.24,29.12,85.0,2.86,0.06,11.9,0.88,54%
28128052,Nathan Carlyon,DM,22,"5'10""",725,,30/6/2028,"2,492",AFC Fylde,Vanarama National League,1,50,88.0,37.0,79.0,4.59,44.86,88.0,4.95,0.08,8.81,0.79,14%
29219118,Isaac Whitehall,"DM, M (C)",23,"6'0""",425,,30/6/2027,952,Scarborough Athletic,Vanarama National League,1,50,91.0,38.0,65.0,7.47,44.81,91.0,3.59,0.08,10.02,0.85,0%
28127070,Hayden Lindley,"DM, M (C)",22,"6'0""","1,100",Fairly Determined,30/6/2026,"2,571",Darlington,Vanarama National League North,1,49,88.0,36.0,81.0,7.06,39.52,88.0,4.2,0.04,12.67,0.70,10%
29229012,Oliver Green,"DM, M (C)",22,"6'3""",250,,30/6/2026,"2,866",Haverfordwest,JD Cymru Premier,1,50,89.0,37.0,68.0,5.75,45.94,89.0,4.24,0.04,9.64,0.53,24%
29229004,Jake Leake,"D (LC), WB (L)",22,"6'2""",300,Balanced,30/6/2026,"1,260",Curzon Ashton,Vanarama National League North,1,46,83.0,41.0,73.0,8.84,28.00,83.0,3.93,0.09,12.43,1.00,57%
29188048,George Cantrill,"DM, M (C)",25,"5'10""",300,Balanced,30/6/2026,"4,030",Alfreton,Vanarama National League North,1,51,90.0,33.0,75.0,8.83,48.13,90.0,3.84,0.04,12.86,1.14,35%
90091913,Isaac Sinclair,"DM, M/AM (RLC)",23,"5'10""",240,Fairly Ambitious,30/6/2025,"3,658",Curzon Ashton,Vanarama National League North,1,46,86.0,33.0,79.0,8.31,33.53,86.0,2.71,0.03,10.01,1.18,25%
28128171,Frankie Maguire,"DM, M (C)",21,"5'9""",0,,-,"1,519",Bromley,Vanarama National League,1,50,85.0,20.0,86.0,14.69,41.77,85.0,4.56,0.06,8.53,0.53,22%
