UID,Name,Position,Age,Height,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Ps C/90,Pas %,Poss Lost/90,Pr passes/90,Drb/90,xA/90,Shot/90,Shot %
28094135,Evan Gumbs,D (C),26,"5'10""",180,,30/6/2024,3750,Warrington,Vanarama National League North,0,46,80.0,75.0,82.0,9.38,38.62,80.0,9.38,4.27,0.07,0.02,0.38,38%
29023545,Shaun Brisley,D (C),34,"6'4""",350,,30/6/2024,3924,Alfreton,Vanarama National League North,0,44,81.0,75.0,68.0,7.41,34.2,81.0,7.41,3.0,-,0.01,0.41,17%
31042036,Baris Altintop,D (RC),23,"6'2""",475,,30/6/2025,4353,Braintree,Vanarama National League South,0,50,87.0,75.0,76.0,4.84,44.97,87.0,4.84,3.58,0.31,0.06,0.83,23%
2000255196,Jet Dyer,D (LC),19,"6'4""",350,,30/6/2025,2224,Aveley,Vanarama National League South,0,46,87.0,75.0,81.0,7.91,43.71,87.0,7.91,4.45,0.08,0.08,0.32,0%
29159369,Jordon Thompson,D (C),25,"6'2""",0,,-,2971,Weymouth,Vanarama National League South,0,51,83.0,74.0,69.0,5.26,44.29,83.0,5.26,3.39,0.09,0.02,0.58,11%
5113683,Connell Rawlinson,D (C),32,"6'3""",925,,30/6/2025,2760,Yeovil,Vanarama National League South,0,57,80.0,74.0,83.0,3.03,44.28,80.0,3.03,4.14,-,0.03,0.91,21%
89024046,Jordaan Brown,D (C),32,"6'2""",120,,30/6/2024,4145,Rushall,Vanarama National League North,0,45,79.0,74.0,79.0,9.91,41.78,79.0,9.91,3.69,-,0.04,0.52,33%
31035171,Jacob Mensah,D (C),23,"6'0""",350,,-,4214,Dover,Vanarama National League South,0,47,81.0,74.0,78.0,4.56,46.54,81.0,4.56,3.97,0.04,0.03,1.13,30%
2000239586,Finlay Heath,DM,20,"6'1""",120,,30/6/2024,3877,Southport,Vanarama National League North,0,43,84.0,74.0,77.0,7.43,39.14,84.0,7.43,3.06,0.53,0.07,1.21,33%
29128162,Bailey Gooda,D (C),27,"5'9""",475,,30/6/2025,4539,Scarborough Athletic,Vanarama National League North,0,50,87.0,74.0,70.0,7.38,46.87,87.0,7.38,4.7,0.04,0.02,0.28,50%
2000187733,Fuad Adeniyi,D (C),29,"6'0""",525,,30/6/2025,1668,Weymouth,Vanarama National League South,0,51,81.0,74.0,76.0,4.02,41.06,81.0,4.02,4.21,0.22,0.03,0.65,25%
2000106511,George Abbott,D (C),19,"6'1""","1,000",,30/6/2026,3525,Tamworth,Vanarama National League North,0,48,89.0,74.0,67.0,5.89,47.59,89.0,5.89,3.7,0.05,0.02,0.56,27%
90055831,Josh Granite,D (C),32,"6'0""",525,,30/6/2024,4220,Buxton,Vanarama National League North,0,46,77.0,74.0,73.0,9.28,35.57,77.0,9.28,4.2,0.02,0.06,0.68,44%
90083933,Morgan Williams,D (RC),24,"6'2""","1,200",,30/6/2026,2220,Yeovil,Vanarama National League South,0,57,83.0,73.0,84.0,9.71,41.96,83.0,9.71,5.15,1.09,0.04,1.38,29%
2000140692,Raphael Araoye,D (LC),19,"6'4""",525,,30/6/2025,3654,Havant & W,Vanarama National League South,0,54,86.0,73.0,76.0,4.12,44.66,86.0,4.12,4.36,0.02,0.05,0.57,26%
28106284,Jalen Jones,D (C),25,"6'6""",180,,-,3240,Aveley,Vanarama National League South,0,46,82.0,73.0,67.0,3.86,40.78,82.0,3.86,2.97,0.06,0.06,1.14,32%
2000075967,Alex Touche,D (C),24,"6'4""",550,,30/6/2024,4039,Boston Utd,Vanarama National League North,0,54,89.0,73.0,83.0,7.12,50.58,89.0,7.12,4.32,0.04,0.09,1.00,20%
28099015,Ben Pollock,"D (C), DM, M (C)",26,"6'1""",475,,30/6/2025,1202,Spennymoor,Vanarama National League North,0,49,79.0,73.0,71.0,9.69,40.28,79.0,9.69,3.07,-,0.05,0.45,33%
28110490,Scott Wilson,D (LC),24,"6'1""",400,,30/6/2024,4162,Chorley,Vanarama National League North,0,53,86.0,73.0,91.0,10.12,50.45,86.0,10.12,5.1,0.28,0.08,0.28,38%
2000143990,Louis Hutchings,D (C),19,"6'1""",60,,30/6/2024,3855,Rushall,Vanarama National League North,0,45,81.0,73.0,82.0,8.08,38.47,81.0,8.08,3.76,-,0.02,0.26,18%
2000144013,Zak Johnson,D (C),19,"6'2""","1,200",,30/6/2026,3943,South Shields,Vanarama National League North,0,59,91.0,73.0,83.0,8.83,65.39,91.0,8.83,8.08,0.30,0.03,0.32,36%
2000140700,Jamie Knight-Lebel,D (C),18,"6'2""",575,,30/6/2025,1809,Brackley,Vanarama National League North,0,49,83.0,73.0,73.0,9.46,45.92,83.0,9.46,3.48,-,0.09,0.80,19%
29234385,Luis Fernandez,D (C),22,"6'1""",475,,30/6/2026,3629,Hampton & Richmond,Vanarama National League South,0,53,82.0,73.0,86.0,4.99,44.62,82.0,4.99,3.62,0.22,0.07,0.64,38%
29173563,Ross Marshall,D (C),24,"6'3""",500,,30/6/2025,1698,Torquay,Vanarama National League South,0,54,83.0,72.0,86.0,4.43,48.55,83.0,4.43,3.5,0.16,0.01,0.95,11%
2000108239,Oscar Halls,D (C),19,"6'2""",475,,30/6/2024,4050,Truro,Vanarama National League South,0,51,85.0,72.0,70.0,3.99,48.4,85.0,3.99,3.69,0.11,0.04,1.16,25%
29003821,Mark Ellis,D (C),35,"6'2""",350,,30/6/2024,4133,Chorley,Vanarama National League North,0,53,85.0,72.0,81.0,9.52,48.1,85.0,9.52,5.49,-,0.01,0.22,90%
29217916,Duncan Idehen,D (C),21,"5'10""",700,,30/6/2024,1525,Worthing,Vanarama National League South,0,53,81.0,72.0,92.0,5.4,42.67,81.0,5.4,3.66,0.24,0.08,0.59,10%
2000044172,Aidan Coyne,D (C),20,"6'0""",475,,30/6/2024,1220,Dover,Vanarama National League South,0,47,84.0,71.0,80.0,4.45,44.78,84.0,4.45,3.17,-,0.05,0.22,33%
28047460,Andre Wisdom,D (RC),31,"6'1""",120,,30/6/2024,4344,Warrington,Vanarama National League North,0,46,81.0,71.0,83.0,9.97,40.4,81.0,9.97,4.6,0.39,0.09,0.85,32%
29225855,Tom Harrison,D (C),23,"6'2""",325,,30/6/2025,1702,Truro,Vanarama National League South,0,51,79.0,71.0,96.0,5.78,40.82,79.0,5.78,2.96,0.11,0.06,0.53,10%
2000105707,Richard Faakye,D (C),19,"6'0""",575,,30/6/2024,2669,Taunton,Vanarama National League South,0,46,81.0,71.0,67.0,4.34,42.93,81.0,4.34,4.01,0.07,0.08,0.67,15%
29218210,Nico Jones,D (C),22,"6'3""",0,,-,1770,Welling,Vanarama National League South,0,46,79.0,71.0,83.0,4.81,42.97,79.0,4.81,4.73,0.20,0.04,0.41,13%
29231812,Luke Haines,"D (C), DM, M (C)",23,"6'1""",230,,30/6/2024,3791,Chippenham,Vanarama National League South,0,45,88.0,70.0,73.0,7.02,46.82,88.0,7.02,4.06,0.45,0.06,0.62,31%
2000048049,Kanye Jobson,D (C),20,"5'11""",350,,30/6/2025,3140,Farnborough,Vanarama National League South,0,53,85.0,69.0,88.0,4.43,41.9,85.0,4.43,3.47,0.17,0.05,0.66,22%
31042033,Joe Grimwood,D (C),23,"6'2""",230,,30/6/2024,3284,Braintree,Vanarama National League South,0,50,82.0,69.0,72.0,4.47,43.77,82.0,4.47,3.73,0.14,0.03,1.10,13%
90024540,Alex Gudger,D (C),31,"6'0""",925,,30/6/2024,3961,Brackley,Vanarama National League North,0,49,83.0,69.0,79.0,9.18,43.99,83.0,9.18,3.5,0.07,0.04,0.59,38%
2000141669,Abraham Kanu,D (C),18,"6'2""",400,,30/6/2026,2244,Hemel Hempstead,Vanarama National League South,0,50,85.0,69.0,63.0,3.29,44.24,85.0,3.29,3.65,0.12,0.03,0.56,14%
29235126,Luke Jenkins,D (C),21,"5'10""",230,,-,4763,Chelmsford,Vanarama National League South,0,52,85.0,69.0,82.0,5.89,41.99,85.0,5.89,3.68,0.21,0.02,0.81,12%
5112949,Dean Moxey,D (C),38,"6'2""","1,000",,30/6/2024,3337,Torquay,Vanarama National League South,0,54,83.0,68.0,88.0,4.2,44.82,83.0,4.2,4.05,0.05,0.1,0.65,33%
2000058107,Bobby Dailly,D (C),20,"6'0""",300,,30/6/2025,1108,Scarborough Athletic,Vanarama National League North,0,50,87.0,68.0,68.0,9.58,51.66,87.0,9.58,6.66,0.32,0.12,0.16,100%
28029487,Paul Downing,D (C),32,"6'1""",700,,30/6/2024,1992,Hereford,Vanarama National League North,0,46,84.0,68.0,74.0,7.16,42.06,84.0,7.16,2.94,0.05,0.05,0.63,43%
29125468,Michael Ledger,"D (RC), WB (R)",26,"6'1""",350,,30/6/2024,3170,Spennymoor,Vanarama National League North,0,49,85.0,67.0,82.0,10.29,41.68,85.0,10.29,3.86,0.48,0.05,0.48,35%
28066268,Kyle Callan-McFadden,D (C),29,"6'0""",825,,30/6/2024,4168,King's Lynn,Vanarama National League North,0,46,81.0,67.0,76.0,9.78,45.13,81.0,9.78,3.89,0.06,0.03,0.28,23%
2000121237,Kieran Burton,D (LC),21,"6'2""",575,,30/6/2025,2401,Eastbourne Borough,Vanarama National League South,0,52,85.0,67.0,73.0,4.14,45.81,85.0,4.14,4.46,0.19,0.02,0.56,20%
2000135400,Declan Hutchings,D/M (C),19,"5'11""",475,,30/6/2025,3879,Weston-super-Mare,Vanarama National League South,0,49,86.0,67.0,86.0,3.41,50.32,86.0,3.41,4.22,0.23,0.05,0.65,14%
56000036,Shaun Williams,"DM, M (C)",37,"6'0""",750,,30/6/2025,1356,Hartlepool,Vanarama National League,0,50,91.0,66.0,76.0,8.36,47.39,91.0,8.36,4.18,0.40,0.1,0.73,45%
28116464,Cameron Evans,D (C),23,"5'11""",230,,-,3220,Taunton,Vanarama National League South,0,46,83.0,66.0,74.0,3.47,47.07,83.0,3.47,4.25,0.17,0.05,1.62,28%
90076147,Toby Lees,D (C),27,"6'3""",400,,30/6/2024,2444,Darlington,Vanarama National League North,0,51,82.0,66.0,75.0,10.03,46.36,82.0,10.03,5.01,0.04,0.02,0.18,60%
2000045041,Cianole Nguepissi,D (C),20,"5'11""",525,,30/6/2025,3593,Torquay,Vanarama National League South,0,54,87.0,66.0,74.0,4.27,47.67,87.0,4.27,4.18,0.15,0.07,0.85,18%
2000058113,Kyle Smith,"D (RC), WB (R)",19,"5'8""",675,,30/6/2025,3891,Worthing,Vanarama National League South,0,53,89.0,65.0,85.0,3.96,50.45,89.0,3.96,4.23,0.12,0.04,0.88,32%
2000105664,Jem Hewlett,D (C),19,"6'2""",575,,30/6/2025,3478,Chippenham,Vanarama National League South,0,45,83.0,65.0,84.0,3.27,46.42,83.0,3.27,3.18,0.05,0.05,1.01,21%
29191692,Will Dean,DM,23,"5'10""",180,,-,3731,Truro,Vanarama National League South,0,51,87.0,64.0,77.0,6.74,46.12,87.0,6.74,4.44,0.70,0.15,0.46,11%
89066034,Alfy Whittingham,"DM, M (C)",25,"6'0""",475,,30/6/2026,2834,Hampton & Richmond,Vanarama National League South,0,53,89.0,64.0,86.0,6.72,45.06,89.0,6.72,3.97,0.70,0.18,0.95,47%
29214239,Reece Staunton,D (C),22,"6'0""",350,,30/6/2025,4590,Spennymoor,Vanarama National League North,0,49,83.0,64.0,73.0,9.48,41.69,83.0,9.48,3.59,0.18,0.12,0.27,14%
2000280919,Dan Bayliss,D (C),25,"6'0""",350,,30/5/2025,4335,Slough,Vanarama National League South,0,45,85.0,64.0,72.0,3.38,43.12,85.0,3.38,3.45,0.02,0.06,0.60,17%
2000039630,Kyle Ajayi,D (C),23,"6'2""",0,,-,1818,Hemel Hempstead,Vanarama National League South,0,50,83.0,64.0,88.0,5.2,43.86,83.0,5.2,3.71,0.10,0.03,0.45,33%
2000040232,Danny Benson,D (C),20,"6'1""",850,,30/6/2025,2616,Maidstone,Vanarama National League South,0,44,85.0,64.0,79.0,4.14,43.59,85.0,4.14,3.68,0.10,0.0,0.52,13%
29110619,Jason Pope,"D (RC), DM, M (C)",28,"5'11""",525,,30/5/2026,4029,Weston-super-Mare,Vanarama National League South,0,49,85.0,64.0,65.0,5.96,44.72,85.0,5.96,3.4,0.18,0.04,0.65,24%
29191693,Jordan Dyer,D (C),24,"6'0""",425,,30/6/2026,2366,Bath City,Vanarama National League South,0,47,86.0,63.0,80.0,3.66,49.15,86.0,3.66,3.39,0.11,0.0,0.27,14%
29193653,Dominic Revan,D (C),23,"6'4""",475,,30/6/2026,2950,Hampton & Richmond,Vanarama National League South,0,53,84.0,63.0,81.0,5.81,48.17,84.0,5.81,4.48,0.27,0.0,0.82,19%
28124739,Cameron Jessup,D (C),21,"6'0""",300,,30/6/2024,4406,Darlington,Vanarama National League North,0,51,83.0,63.0,82.0,9.09,44.92,83.0,9.09,5.25,0.10,0.03,0.27,69%
29159617,Mike Calveley,"DM, M (C)",24,"6'1""",350,,30/6/2025,4106,Chorley,Vanarama National League North,0,53,86.0,63.0,73.0,7.2,41.43,86.0,7.2,4.82,0.28,0.07,0.33,47%
2000198889,Will Larvin,D (C),18,"5'10""",325,,30/6/2025,1160,Taunton,Vanarama National League South,0,46,85.0,63.0,87.0,4.17,45.7,85.0,4.17,3.41,-,0.01,0.70,44%
29072357,Tom Platt,"DM, M (C)",30,"6'1""",400,,30/6/2024,4094,Darlington,Vanarama National League North,0,51,87.0,63.0,68.0,8.48,44.25,87.0,8.48,3.89,0.46,0.11,1.14,31%
89061641,Imran Uche,"DM, M (C)",25,"6'4""",600,,30/6/2024,2478,Eastbourne Borough,Vanarama National League South,0,52,87.0,63.0,74.0,7.53,46.02,87.0,7.53,3.78,0.51,0.18,0.58,19%
29005706,Josh Coulson,D (C),35,"6'3""","1,100",,30/6/2024,3044,King's Lynn,Vanarama National League North,0,46,83.0,63.0,78.0,8.3,43.49,83.0,8.3,3.16,0.03,0.02,0.15,20%
2000142141,Nathan James,D (C),19,"6'1""",475,,30/6/2024,2436,Maidstone,Vanarama National League South,0,44,88.0,62.0,86.0,3.89,45.22,88.0,3.89,3.99,-,0.06,1.37,27%
2000036792,Jevon Mills,D (C),20,"6'0""",825,,30/6/2024,3921,Maidstone,Vanarama National League South,0,44,83.0,62.0,74.0,3.86,48.0,83.0,3.86,4.29,0.02,0.05,1.65,19%
29139318,Cameron James,"DM, M (C)",26,"6'0""",550,,30/6/2026,4191,Chelmsford,Vanarama National League South,0,52,85.0,62.0,79.0,9.82,39.9,85.0,9.82,3.52,0.52,0.1,0.69,31%
29031124,Chris Atkinson,"DM, M (C)",32,"6'1""",275,,30/6/2025,4150,Farsley,Vanarama National League North,0,47,86.0,62.0,79.0,8.72,41.07,86.0,8.72,3.95,0.72,0.12,1.17,35%
29187947,Tom Pugh,"DM, M (C)",23,"5'10""",850,,30/6/2026,1695,Scunthorpe,Vanarama National League North,0,59,89.0,62.0,81.0,9.52,49.86,89.0,9.52,4.3,0.74,0.08,1.38,42%
2000057896,Harrison Burke,D (C),21,"6'2""",350,,30/6/2026,4414,Chester,Vanarama National League North,0,56,89.0,61.0,69.0,7.36,51.95,89.0,7.36,5.1,0.04,0.03,0.47,52%
152985,Michael Bostwick,D (C),36,"6'4""",925,,30/6/2024,3465,Boston Utd,Vanarama National League North,0,54,85.0,61.0,81.0,8.59,42.88,85.0,8.59,5.01,0.26,0.11,1.56,42%
5113684,John White,D (C),37,"6'0""",240,,30/6/2025,1693,Braintree,Vanarama National League South,0,50,87.0,60.0,89.0,4.52,45.72,87.0,4.52,2.92,-,0.04,0.21,50%
20044986,Callum Ross,"DM, M (C)",29,"6'2""",475,,30/6/2024,3815,Spennymoor,Vanarama National League North,0,49,87.0,60.0,74.0,6.57,39.56,87.0,6.57,3.68,0.52,0.13,1.30,35%
29233083,Andres De Gracia,"DM, M (C)",21,"5'11""",325,,30/6/2025,2523,Eastbourne Borough,Vanarama National League South,0,52,87.0,60.0,74.0,9.1,46.8,87.0,9.1,5.21,0.29,0.17,0.57,31%
2000077960,Azeem Abdulai,"DM, M (C)",21,"6'1""","1,900",,30/6/2025,4140,Yeovil,Vanarama National League South,0,57,89.0,59.0,85.0,6.4,48.17,89.0,6.4,4.41,0.72,0.19,1.57,28%
2000146810,Owen Cochrane,D (R),19,"5'10""",400,,30/6/2024,3284,Bishop's Stortford,Vanarama National League North,0,45,84.0,59.0,79.0,9.92,37.16,84.0,9.92,3.48,0.36,0.06,0.14,20%
94001969,Gareth Dean,D (C),34,"6'2""",700,,30/6/2024,4067,Brackley,Vanarama National League North,0,49,86.0,57.0,80.0,7.92,46.87,86.0,7.92,4.32,0.07,0.04,0.44,20%
52032604,Jimmy Keohane,"D/WB (RL), DM",33,"5'11""",925,,30/6/2024,1836,Rochdale,Vanarama National League,0,50,86.0,56.0,84.0,10.05,42.25,86.0,10.05,4.66,0.74,0.16,0.59,17%
29226255,Josh Owers,"DM, M (C)",22,"6'0""",700,,30/6/2025,2377,Yeovil,Vanarama National League South,0,57,90.0,55.0,71.0,6.56,47.4,90.0,6.56,5.0,0.64,0.15,0.57,33%
28121648,Lucas Defise,"DM, M (C)",22,"5'10""",575,,30/6/2024,3843,Eastbourne Borough,Vanarama National League South,0,52,88.0,55.0,74.0,7.83,44.68,88.0,7.83,5.5,0.40,0.14,0.66,14%
89061743,Elliot Forbes,"D (C), DM, M (C)",25,"6'4""",525,,30/6/2025,4337,Blyth,Vanarama National League North,0,65,90.0,55.0,82.0,9.79,59.29,90.0,9.79,5.77,0.42,0.03,0.54,50%
29142516,Jake Evans,M (C),26,"5'9""",170,,30/6/2024,2470,Chippenham,Vanarama National League South,0,45,87.0,55.0,81.0,10.36,42.38,87.0,10.36,4.12,1.17,0.11,1.17,25%
31036053,Ansu Janneh,"DM, M (C)",25,"6'1""",400,,30/6/2024,2556,Tonbridge,Vanarama National League South,0,48,89.0,54.0,76.0,9.62,42.36,89.0,9.62,4.15,0.60,0.34,1.02,21%
2000224402,Dan Barton,"DM, M (C)",18,"5'11""",675,,30/6/2025,2079,Slough,Vanarama National League South,0,45,88.0,54.0,73.0,6.37,44.29,88.0,6.37,4.07,0.69,0.12,0.52,17%
29240108,Tom Sparrow,"DM, M (C)",21,"5'11""","1,400",,30/6/2026,4059,South Shields,Vanarama National League North,0,59,91.0,54.0,80.0,8.68,57.76,91.0,8.68,6.41,0.42,0.14,0.64,24%
29236446,Alex Aoraha,"DM, M (C)",21,"6'1""",575,,30/6/2025,2268,Braintree,Vanarama National League South,0,50,90.0,53.0,86.0,7.5,46.87,90.0,7.5,4.52,0.32,0.15,0.75,16%
2000009603,Ryan Lowe,"DM, M (C)",20,"6'3""",475,,30/6/2025,1154,Dover,Vanarama National League South,0,47,87.0,53.0,84.0,7.58,43.91,87.0,7.58,3.59,0.47,0.27,0.16,0%
5120074,Anthony Grant,"DM, M (C)",36,"5'10""",575,,30/6/2024,3535,Welling,Vanarama National League South,0,46,88.0,53.0,77.0,10.23,40.33,88.0,10.23,3.11,0.46,0.16,0.48,16%
2000044791,Ben Watt,"DM, M (C)",20,"5'9""","1,200",,30/6/2025,2684,Maidstone,Vanarama National League South,0,44,90.0,52.0,76.0,6.77,46.21,90.0,6.77,4.19,0.57,0.13,0.94,21%
28084830,Jordan Lyden,"DM, M (C)",28,"6'0""",575,,30/6/2024,4123,Hereford,Vanarama National League North,0,46,87.0,51.0,70.0,6.85,41.85,87.0,6.85,3.62,0.46,0.09,0.76,26%
29191775,Tommy Hughes,M (C),23,"5'9""",700,,30/6/2024,1497,King's Lynn,Vanarama National League North,0,46,82.0,51.0,78.0,10.3,36.55,82.0,10.3,3.91,0.90,0.15,1.98,42%
29234484,Jack Smith,"DM, M (C)",22,"6'1""",625,,30/6/2026,3144,Dartford,Vanarama National League South,0,50,90.0,50.0,83.0,7.64,45.2,90.0,7.64,4.35,0.54,0.15,0.80,21%
90012441,Alex Kenyon,"D (C), DM, M (C)",31,"5'11""",450,,30/6/2025,4403,Curzon Ashton,Vanarama National League North,0,44,85.0,50.0,79.0,6.66,40.74,85.0,6.66,4.6,0.18,0.06,0.72,9%
28093272,Charlie Cooper,"DM, M (C)",27,"5'9""",750,,30/6/2025,2090,Yeovil,Vanarama National League South,0,57,88.0,49.0,75.0,8.12,47.45,88.0,8.12,3.92,0.55,0.06,0.86,20%
29160404,Sam Fielding,"D (C), DM, M (C)",25,"6'2""",275,,30/6/2025,1051,Spennymoor,Vanarama National League North,0,49,86.0,49.0,70.0,8.98,41.96,86.0,8.98,3.08,1.43,0.14,0.77,33%
28060559,Callum Reilly,"DM, M (C)",30,"6'1""",230,,30/6/2024,3808,Tamworth,Vanarama National League North,0,48,87.0,49.0,70.0,6.27,37.91,87.0,6.27,4.09,0.38,0.09,1.13,44%
