UID,Name,Position,Age,Height,Min WD,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Poss Won/90,Pr passes/90,Tck R,Hdr %,Pr passes/90,Tck/90,Pass %
29161623,Adam Lund,DM,25,"5'11""",0,180,,30/6/2025,3709,Alfreton,Vanarama National League North,1,51,83%,77.0,77.0,11.31,10.51,4.0,77.0,77.0,4.0,2.26,
90057700,Jamie Willets,D (C),31,"6'3""",0,180,,30/6/2024,4501,Tamworth,Vanarama National League North,1,51,80%,77.0,70.0,10.68,13.96,4.56,70.0,77.0,4.56,0.7,
29233180,Brooklyn Kabongolo,D (C),21,"6'4""",0,450,,30/6/2024,1024,Maidstone,Vanarama National League South,1,50,81%,77.0,100.0,5.54,11.69,2.46,100.0,77.0,2.46,0.44,
28028403,Conor Branson,"DM, M (C)",32,"6'2""",0,300,,30/6/2024,2947,Farsley,Vanarama National League North,1,46,85%,77.0,71.0,8.7,11.27,4.83,71.0,77.0,4.83,1.92,
2000022079,Ethan Sutcliffe,D (C),20,"6'1""",0,375,,30/6/2025,1165,Scunthorpe,Vanarama National League North,1,64,90%,77.0,75.0,7.18,13.91,4.48,75.0,77.0,4.48,0.46,
29235898,Ronny Nelson,D (C),20,"6'5""",0,575,,30/6/2025,3727,Worthing,Vanarama National League South,1,50,86%,77.0,84.0,4.73,11.33,3.84,84.0,77.0,3.84,1.18,
28049315,Zaine Francis-Angol,D/WB (L),30,"5'8""",0,475,,30/6/2024,3085,Buxton,Vanarama National League North,1,48,84%,77.0,83.0,11.49,14.0,7.32,83.0,77.0,7.32,2.28,
2000273981,Emmanuel Harvest,DM,19,"6'4""",0,425,,30/6/2025,3265,Bishop's Stortford,Vanarama National League North,1,50,85%,77.0,69.0,8.77,9.26,3.42,69.0,77.0,3.42,1.82,
29127855,Isaac Assenso,D (C),27,"6'3""",0,230,,30/6/2024,2273,Farsley,Vanarama National League North,1,46,76%,76.0,76.0,11.28,13.07,4.08,76.0,76.0,4.08,1.15,
29146151,Maxim Kouogun,D (C),27,"6'3""",0,875,,30/6/2025,2941,Scunthorpe,Vanarama National League North,1,64,85%,76.0,68.0,9.61,16.04,4.28,68.0,76.0,4.28,0.92,
29038155,Blaine Hudson,D (C),32,"6'5""",0,300,,30/6/2025,2330,Chelmsford,Vanarama National League South,1,56,79%,76.0,75.0,5.25,19.58,4.4,75.0,76.0,4.4,0.81,
52070952,Gary Boylan,"D (R), M (C)",28,"6'0""",0,450,,30/6/2025,2116,Weston-super-Mare,Vanarama National League South,1,50,84%,76.0,78.0,13.14,13.65,4.68,78.0,76.0,4.68,1.62,
29219122,Jalil Saadi,D (C),22,"6'3""",0,875,,30/6/2024,3474,Yeovil,Vanarama National League South,1,50,83%,76.0,78.0,3.16,14.97,3.89,78.0,76.0,3.89,0.98,
2000211483,Aaron Harper-Bailey,D (C),22,"6'3""",0,475,,30/6/2024,3847,Gloucester,Vanarama National League North,1,47,85%,76.0,76.0,7.81,14.74,3.09,76.0,76.0,3.09,1.05,
2000192553,Charlie Stallard,D (C),20,"6'2""",0,525,,30/6/2024,3312,Hemel Hempstead,Vanarama National League South,1,46,87%,75.0,82.0,3.91,17.74,3.67,82.0,75.0,3.67,1.09,
28095453,Liam Edwards,D (C),27,"6'3""",0,525,,30/6/2024,3311,Chester,Vanarama National League North,1,47,87%,75.0,67.0,8.59,14.81,5.27,67.0,75.0,5.27,0.71,
2000108352,Charlie Hayes-Green,D (C),19,"6'0""",0,575,,30/6/2025,1260,Peterborough Sports,Vanarama National League North,1,47,85%,75.0,91.0,10.71,15.21,4.71,91.0,75.0,4.71,1.43,
29111157,Alex Finney,D (C),27,"6'4""",0,800,,30/6/2024,4335,Eastbourne Borough,Vanarama National League South,1,57,82%,75.0,74.0,4.94,16.46,3.61,74.0,75.0,3.61,1.08,
29128545,Kyron Farrell,D (L),26,"5'11""",0,250,,30/6/2024,3999,Tamworth,Vanarama National League North,1,51,81%,75.0,82.0,13.68,15.71,7.29,82.0,75.0,7.29,2.14,
2000120904,George Milner-Smith,D (C),20,"6'4""",0,300,,30/6/2025,1440,Dartford,Vanarama National League South,1,51,86%,75.0,87.0,3.5,13.94,3.81,87.0,75.0,3.81,0.81,
29132088,Adam Anson,D (C),27,"6'0""",0,475,,30/6/2024,4559,Southport,Vanarama National League North,1,50,80%,75.0,71.0,8.84,11.73,3.16,71.0,75.0,3.16,0.71,
28094135,Evan Gumbs,D (C),26,"5'10""",0,180,,30/6/2024,3750,Warrington,Vanarama National League North,1,44,80%,75.0,82.0,10.13,13.63,4.27,82.0,75.0,4.27,1.54,
29023545,Shaun Brisley,D (C),34,"6'4""",0,350,,30/6/2024,3924,Alfreton,Vanarama National League North,1,51,81%,75.0,68.0,8.3,12.18,3.0,68.0,75.0,3.0,0.69,
31042036,Baris Altintop,D (RC),23,"6'2""",0,475,,30/6/2025,4353,Braintree,Vanarama National League South,1,50,87%,75.0,76.0,4.84,18.53,3.58,76.0,75.0,3.58,1.08,
2000255196,Jet Dyer,D (LC),19,"6'4""",0,350,,30/6/2025,2224,Aveley,Vanarama National League South,1,44,87%,75.0,81.0,8.54,13.15,4.45,81.0,75.0,4.45,1.7,
29159369,Jordon Thompson,D (C),25,"6'2""",0,0,,-,2971,Weymouth,Vanarama National League South,1,50,83%,74.0,69.0,5.15,12.42,3.39,69.0,74.0,3.39,0.82,
5113683,Connell Rawlinson,D (C),32,"6'3""",0,925,,30/6/2025,2760,Yeovil,Vanarama National League South,1,50,80%,74.0,83.0,2.61,16.3,4.14,83.0,74.0,4.14,1.08,
89024046,Jordaan Brown,D (C),32,"6'2""",0,120,,30/6/2024,4145,Rushall,Vanarama National League North,1,50,79%,74.0,79.0,10.9,13.85,3.69,79.0,74.0,3.69,0.98,
31035171,Jacob Mensah,D (C),23,"6'0""",0,350,,-,4214,Dover,Vanarama National League South,1,49,81%,74.0,78.0,4.83,16.19,3.97,78.0,74.0,3.97,1.15,
2000239586,Finlay Heath,DM,20,"6'1""",0,120,,30/6/2024,3877,Southport,Vanarama National League North,1,50,84%,74.0,77.0,8.47,9.73,3.06,77.0,74.0,3.06,2.09,
29128162,Bailey Gooda,D (C),27,"5'9""",0,475,,30/6/2025,4539,Scarborough Athletic,Vanarama National League North,1,50,87%,74.0,70.0,7.38,13.38,4.7,70.0,74.0,4.7,1.03,
2000053510,Jay Haddow,D/WB (R),20,"6'1""",0,575,,30/6/2025,2731,Southport,Vanarama National League North,1,50,79%,74.0,77.0,13.87,14.47,3.43,77.0,74.0,3.43,2.47,
2000192695,Keilen Robinson,D (C),18,"6'1""",0,475,,30/6/2025,1080,Chester,Vanarama National League North,1,47,85%,74.0,69.0,9.42,14.25,5.0,69.0,74.0,5.0,0.75,
2000187733,Fuad Adeniyi,D (C),29,"6'0""",0,525,,30/6/2025,1668,Weymouth,Vanarama National League South,1,50,81%,74.0,76.0,3.94,12.63,4.21,76.0,74.0,4.21,1.19,
29072743,Zak Mills,D/WB (R),32,"6'0""",0,475,,30/6/2024,3732,Boston Utd,Vanarama National League North,1,58,82%,74.0,78.0,20.57,14.61,5.88,78.0,74.0,5.88,1.74,
2000106511,George Abbott,D (C),19,"6'1""",0,"1,000",,30/6/2026,3525,Tamworth,Vanarama National League North,1,51,89%,74.0,67.0,6.13,13.63,3.7,67.0,74.0,3.7,0.71,
90055831,Josh Granite,D (C),32,"6'0""",0,525,,30/6/2024,4220,Buxton,Vanarama National League North,1,48,77%,74.0,73.0,10.02,12.73,4.2,73.0,74.0,4.2,0.64,
2000139713,Narel Phillips,D (C),19,"6'0""",0,400,,30/6/2024,2280,Havant & W,Vanarama National League South,1,48,77%,74.0,59.0,5.41,11.53,2.8,59.0,74.0,2.8,0.67,
90083933,Morgan Williams,D (RC),24,"6'2""",0,"1,200",,30/6/2026,2220,Yeovil,Vanarama National League South,1,50,83%,73.0,84.0,8.35,13.09,5.15,84.0,73.0,5.15,1.7,
2000140692,Raphael Araoye,D (LC),19,"6'4""",0,525,,30/6/2025,3654,Havant & W,Vanarama National League South,1,48,86%,73.0,76.0,3.79,21.4,4.36,76.0,73.0,4.36,0.96,
28106284,Jalen Jones,D (C),25,"6'6""",0,180,,-,3240,Aveley,Vanarama National League South,1,44,82%,73.0,67.0,4.17,14.19,2.97,67.0,73.0,2.97,0.81,
29141826,Sam Bone,"D (RC), WB (R)",25,"6'5""",0,700,,30/6/2024,3108,Maidstone,Vanarama National League South,1,50,85%,73.0,78.0,12.28,16.71,4.11,78.0,73.0,4.11,2.03,
29233208,Kacper GruszczyÅski,D (L),20,"5'11""",0,250,,30/6/2024,3798,Warrington,Vanarama National League North,1,44,81%,73.0,83.0,13.77,15.55,4.81,83.0,73.0,4.81,2.56,
2000075967,Alex Touche,D (C),24,"6'4""",0,550,,30/6/2024,4039,Boston Utd,Vanarama National League North,1,58,89%,73.0,83.0,6.55,14.02,4.32,83.0,73.0,4.32,0.96,
29006267,Andrew Boyce,D (C),34,"6'4""",0,"1,200",,30/6/2024,2742,Scunthorpe,Vanarama National League North,1,64,87%,73.0,82.0,9.42,13.88,5.09,82.0,73.0,5.09,1.02,
28099015,Ben Pollock,"D (C), DM, M (C)",26,"6'1""",0,475,,30/6/2025,1202,Spennymoor,Vanarama National League North,1,46,79%,73.0,71.0,9.88,11.83,3.07,71.0,73.0,3.07,0.75,
28106570,Louis Hall,D/WB (L),25,"6'0""",0,180,,30/6/2024,3693,Banbury,Vanarama National League North,1,44,81%,73.0,74.0,13.89,14.67,4.92,74.0,73.0,4.92,2.0,
28110490,Scott Wilson,D (LC),24,"6'1""",0,400,,30/6/2024,4162,Chorley,Vanarama National League North,1,59,86%,73.0,91.0,9.51,13.1,5.1,91.0,73.0,5.1,1.86,
2000143990,Louis Hutchings,D (C),19,"6'1""",0,60,,30/6/2024,3855,Rushall,Vanarama National League North,1,50,81%,73.0,82.0,8.89,12.19,3.76,82.0,73.0,3.76,1.17,
2000144013,Zak Johnson,D (C),19,"6'2""",0,"1,200",,30/6/2026,3943,South Shields,Vanarama National League North,1,50,91%,73.0,83.0,7.24,14.56,8.08,83.0,73.0,8.08,0.91,
2000140700,Jamie Knight-Lebel,D (C),18,"6'2""",0,575,,30/6/2025,1809,Brackley,Vanarama National League North,1,45,83%,73.0,73.0,9.65,15.42,3.48,73.0,73.0,3.48,1.19,
29234385,Luis Fernandez,D (C),22,"6'1""",0,475,,30/6/2026,3629,Hampton & Richmond,Vanarama National League South,1,50,82%,73.0,86.0,4.69,16.84,3.62,86.0,73.0,3.62,1.04,
29193987,Keenan Ferguson,D (R),23,"6'0""",0,350,,30/6/2025,2236,Spennymoor,Vanarama National League North,1,46,83%,73.0,88.0,12.48,14.45,4.43,88.0,73.0,4.43,3.22,
90075628,Matt Curley,D/WB (R),28,"5'9""",0,230,,30/6/2024,3898,Tamworth,Vanarama National League North,1,51,82%,72.0,81.0,13.53,15.7,5.73,81.0,72.0,5.73,1.64,
2000142139,Bayley McCann,D/WB (L),18,"5'11""",0,600,,30/6/2026,1149,Scunthorpe,Vanarama National League North,1,64,88%,72.0,78.0,9.79,13.79,6.89,78.0,72.0,6.89,2.27,
2000260847,Lewis Hudson,D (L),25,"5'9""",0,475,,31/5/2025,3921,Hereford,Vanarama National League North,1,50,82%,72.0,84.0,12.65,12.83,5.37,84.0,72.0,5.37,2.75,
29173563,Ross Marshall,D (C),24,"6'3""",0,500,,30/6/2025,1698,Torquay,Vanarama National League South,1,52,83%,72.0,86.0,4.08,14.05,3.5,86.0,72.0,3.5,1.01,
2000108239,Oscar Halls,D (C),19,"6'2""",0,475,,30/6/2024,4050,Truro,Vanarama National League South,1,48,85%,72.0,70.0,3.91,15.56,3.69,70.0,72.0,3.69,0.89,
29003821,Mark Ellis,D (C),35,"6'2""",0,350,,30/6/2024,4133,Chorley,Vanarama National League North,1,59,85%,72.0,81.0,8.95,10.65,5.49,81.0,72.0,5.49,0.94,
29217916,Duncan Idehen,D (C),21,"5'10""",0,700,,30/6/2024,1525,Worthing,Vanarama National League South,1,50,81%,72.0,92.0,5.08,14.28,3.66,92.0,72.0,3.66,1.3,
2000140865,James Leonard,D (C),19,"5'9""",0,180,,30/6/2024,2938,Bishop's Stortford,Vanarama National League North,1,50,86%,71.0,61.0,7.14,9.07,2.63,61.0,71.0,2.63,0.67,
2000044172,Aidan Coyne,D (C),20,"6'0""",0,475,,30/6/2024,1220,Dover,Vanarama National League South,1,49,84%,71.0,80.0,4.72,14.61,3.17,80.0,71.0,3.17,0.89,
28047460,Andre Wisdom,D (RC),31,"6'1""",0,120,,30/6/2024,4344,Warrington,Vanarama National League North,1,44,81%,71.0,83.0,10.77,13.74,4.6,83.0,71.0,4.6,1.91,
29225855,Tom Harrison,D (C),23,"6'2""",0,325,,30/6/2025,1702,Truro,Vanarama National League South,1,48,79%,71.0,96.0,5.66,11.0,2.96,96.0,71.0,2.96,1.27,
2000105707,Richard Faakye,D (C),19,"6'0""",0,575,,30/6/2024,2669,Taunton,Vanarama National League South,1,50,81%,71.0,67.0,4.69,16.96,4.01,67.0,71.0,4.01,0.74,
29218210,Nico Jones,D (C),22,"6'3""",0,0,,-,1770,Welling,Vanarama National League South,1,46,79%,71.0,83.0,5.19,17.34,4.73,83.0,71.0,4.73,1.27,
28037033,Adam Blakeman,D/WB (L),32,"5'11""",0,525,,30/6/2024,1557,Chorley,Vanarama National League North,1,59,84%,71.0,82.0,16.07,11.62,8.21,82.0,71.0,8.21,2.31,
29231812,Luke Haines,"D (C), DM, M (C)",23,"6'1""",0,230,,30/6/2024,3791,Chippenham,Vanarama National League South,1,51,88%,70.0,73.0,7.72,10.21,4.06,73.0,70.0,4.06,1.76,
29139507,George Fowler,D (RC),26,"6'1""",0,575,,30/6/2024,1890,Maidstone,Vanarama National League South,1,50,82%,70.0,86.0,18.1,9.62,3.9,86.0,70.0,3.9,1.81,
2000048049,Kanye Jobson,D (C),20,"5'11""",0,350,,30/6/2025,3140,Farnborough,Vanarama National League South,1,51,85%,69.0,88.0,4.16,19.15,3.47,88.0,69.0,3.47,1.0,
29128504,Jack Doyle,D (L),27,"5'10""",0,475,,30/6/2024,4393,Southport,Vanarama National League North,1,50,78%,69.0,83.0,14.57,13.95,4.92,83.0,69.0,4.92,3.07,
2000027336,Harry Leeson,D (R),20,"6'0""",0,950,,30/6/2025,1418,Dartford,Vanarama National League South,1,51,83%,69.0,78.0,13.39,11.49,4.82,78.0,69.0,4.82,2.03,
31042033,Joe Grimwood,D (C),23,"6'2""",0,230,,30/6/2024,3284,Braintree,Vanarama National League South,1,50,82%,69.0,72.0,4.47,13.07,3.73,72.0,69.0,3.73,0.99,
90024540,Alex Gudger,D (C),31,"6'0""",0,925,,30/6/2024,3961,Brackley,Vanarama National League North,1,45,83%,69.0,79.0,9.36,12.41,3.5,79.0,69.0,3.5,0.77,
2000141669,Abraham Kanu,D (C),18,"6'2""",0,400,,30/6/2026,2244,Hemel Hempstead,Vanarama National League South,1,46,85%,69.0,63.0,3.29,18.13,3.65,63.0,69.0,3.65,0.68,
29235126,Luke Jenkins,D (C),21,"5'10""",0,230,,-,4763,Chelmsford,Vanarama National League South,1,56,85%,69.0,82.0,5.65,18.16,3.68,82.0,69.0,3.68,1.42,
5112949,Dean Moxey,D (C),38,"6'2""",0,"1,000",,30/6/2024,3337,Torquay,Vanarama National League South,1,52,83%,68.0,88.0,3.86,18.12,4.05,88.0,68.0,4.05,1.16,
2000058107,Bobby Dailly,D (C),20,"6'0""",0,300,,30/6/2025,1108,Scarborough Athletic,Vanarama National League North,1,50,87%,68.0,68.0,9.58,15.51,6.66,68.0,68.0,6.66,1.38,
28030262,Nathan Cameron,D (C),32,"6'2""",0,575,,30/6/2024,3667,Hereford,Vanarama National League North,1,50,83%,68.0,68.0,7.41,10.92,2.28,68.0,68.0,2.28,0.88,
28029487,Paul Downing,D (C),32,"6'1""",0,700,,30/6/2024,1992,Hereford,Vanarama National League North,1,50,84%,68.0,74.0,7.73,13.19,2.94,74.0,68.0,2.94,0.77,
29071976,Sam Minihan,D (R),30,"5'9""",0,350,,30/6/2024,3666,Buxton,Vanarama National League North,1,48,79%,68.0,85.0,17.23,14.98,4.15,85.0,68.0,4.15,2.04,
29179541,Jack James,D/WB (R),24,"6'1""",0,350,,30/6/2024,3506,St. Albans,Vanarama National League South,1,50,82%,68.0,77.0,14.25,8.86,4.7,77.0,68.0,4.7,2.0,
29125468,Michael Ledger,"D (RC), WB (R)",26,"6'1""",0,350,,30/6/2024,3170,Spennymoor,Vanarama National League North,1,46,85%,67.0,82.0,10.5,14.79,3.86,82.0,67.0,3.86,2.81,
28066268,Kyle Callan-McFadden,D (C),29,"6'0""",0,825,,30/6/2024,4168,King's Lynn,Vanarama National League North,1,50,81%,67.0,76.0,10.56,14.12,3.89,76.0,67.0,3.89,1.17,
28047459,Alex Whittle,D (L),31,"5'8""",0,550,,30/6/2026,2261,Yeovil,Vanarama National League South,1,50,85%,67.0,79.0,12.22,13.33,5.89,79.0,67.0,5.89,2.19,
2000121237,Kieran Burton,D (LC),21,"6'2""",0,575,,30/6/2025,2401,Eastbourne Borough,Vanarama National League South,1,57,85%,67.0,73.0,3.97,13.23,4.46,73.0,67.0,4.46,1.24,
2000144010,Will Dowling,M (C),19,"6'2""",0,425,,30/6/2025,2702,Chester,Vanarama National League North,1,47,88%,67.0,70.0,9.79,9.43,4.16,70.0,67.0,4.16,1.23,
85030793,RÃ©my Clerima,D/WB (R),33,"6'2""",0,650,,30/6/2024,1533,Maidenhead,Vanarama National League,1,50,84%,67.0,73.0,16.32,10.8,5.23,73.0,67.0,5.23,1.41,
2000135400,Declan Hutchings,D/M (C),19,"5'11""",0,475,,30/6/2025,3879,Weston-super-Mare,Vanarama National League South,1,50,86%,67.0,86.0,3.48,16.06,4.22,86.0,67.0,4.22,0.86,
90057675,Dwayne Wiley,D (C),32,"6'1""",0,300,,30/6/2024,1551,Alfreton,Vanarama National League North,1,51,76%,67.0,74.0,12.19,14.74,4.24,74.0,67.0,4.24,1.8,
56000036,Shaun Williams,"DM, M (C)",37,"6'0""",0,750,,30/6/2025,1356,Hartlepool,Vanarama National League,1,50,91%,66.0,76.0,8.36,12.15,4.18,76.0,66.0,4.18,1.46,
28115521,Jordan Thomas,D (R),23,"5'10""",0,425,,30/6/2027,3699,Hampton & Richmond,Vanarama National League South,1,50,84%,66.0,83.0,13.11,11.95,5.28,83.0,66.0,5.28,2.02,
2000141028,Roddy McGlinchey,"DM, M (C)",19,"6'2""",0,400,,30/6/2024,1124,Banbury,Vanarama National League North,1,44,87%,66.0,79.0,5.52,7.61,2.8,79.0,66.0,2.8,0.88,
28116464,Cameron Evans,D (C),23,"5'11""",0,230,,-,3220,Taunton,Vanarama National League South,1,50,83%,66.0,74.0,3.75,16.94,4.25,74.0,66.0,4.25,0.73,
90076147,Toby Lees,D (C),27,"6'3""",0,400,,30/6/2024,2444,Darlington,Vanarama National League North,1,49,82%,66.0,75.0,9.83,12.19,5.01,75.0,66.0,5.01,1.58,
2000101650,Kyle Fanning,"D (C), DM",19,"6'4""",0,475,,30/6/2024,1941,Curzon Ashton,Vanarama National League North,1,46,89%,66.0,79.0,7.56,10.2,2.64,79.0,66.0,2.64,1.76,
2000045041,Cianole Nguepissi,D (C),20,"5'11""",0,525,,30/6/2025,3593,Torquay,Vanarama National League South,1,52,87%,66.0,74.0,3.93,16.21,4.18,74.0,66.0,4.18,0.98,
29171001,Ryan Law,D/WB (L),24,"6'0""",0,300,,30/6/2025,3764,Truro,Vanarama National League South,1,48,81%,66.0,87.0,12.43,12.48,4.9,87.0,66.0,4.9,2.77,
28028342,Blair Adams,D/WB (L),32,"5'11""",0,575,,30/6/2024,2596,South Shields,Vanarama National League North,1,50,87%,66.0,84.0,10.64,13.56,8.18,84.0,66.0,8.18,1.77,
2000058113,Kyle Smith,"D (RC), WB (R)",19,"5'8""",0,675,,30/6/2025,3891,Worthing,Vanarama National League South,1,50,89%,65.0,85.0,3.72,14.23,4.23,85.0,65.0,4.23,0.9,
89061033,George Carline,D/WB (R),31,"6'2""",0,825,,30/6/2024,2711,Brackley,Vanarama National League North,1,45,82%,65.0,79.0,16.23,14.31,5.51,79.0,65.0,5.51,1.76,
29219537,Brad Nicholson,D (LC),25,"6'2""",0,325,,30/6/2025,2092,Boston Utd,Vanarama National League North,1,58,82%,65.0,78.0,13.25,14.07,6.75,78.0,65.0,6.75,1.85,
29083573,Bradley Barry,D/WB (R),29,"5'11""",0,"1,200",,30/6/2025,4771,Eastbourne Borough,Vanarama National League South,1,57,85%,65.0,83.0,15.36,11.81,4.0,83.0,65.0,4.0,2.47,
2000105664,Jem Hewlett,D (C),19,"6'2""",0,575,,30/6/2025,3478,Chippenham,Vanarama National League South,1,51,83%,65.0,84.0,3.6,18.99,3.18,84.0,65.0,3.18,1.09,
29191692,Will Dean,DM,23,"5'10""",0,180,,-,3731,Truro,Vanarama National League South,1,48,87%,64.0,77.0,6.61,11.53,4.44,77.0,64.0,4.44,1.86,
89066034,Alfy Whittingham,"DM, M (C)",25,"6'0""",0,475,,30/6/2026,2834,Hampton & Richmond,Vanarama National League South,1,50,89%,64.0,86.0,6.32,12.77,3.97,86.0,64.0,3.97,1.78,
29214239,Reece Staunton,D (C),22,"6'0""",0,350,,30/6/2025,4590,Spennymoor,Vanarama National League North,1,46,83%,64.0,73.0,9.67,11.92,3.59,73.0,64.0,3.59,0.86,
2000280919,Dan Bayliss,D (C),25,"6'0""",0,350,,30/5/2025,4335,Slough,Vanarama National League South,1,50,85%,64.0,72.0,3.72,14.37,3.45,72.0,64.0,3.45,1.0,
2000039630,Kyle Ajayi,D (C),23,"6'2""",0,0,,-,1818,Hemel Hempstead,Vanarama National League South,1,46,83%,64.0,88.0,5.2,12.38,3.71,88.0,64.0,3.71,1.09,
90040871,Ryan Fryatt,D (C),30,"6'1""",0,400,,30/6/2024,2563,Peterborough Sports,Vanarama National League North,1,47,76%,64.0,80.0,11.1,12.92,5.09,80.0,64.0,5.09,1.26,
28059654,Will Hayhurst,D/WB (L),30,"5'9""",0,230,,30/6/2024,3868,Curzon Ashton,Vanarama National League North,1,46,81%,64.0,80.0,14.54,11.8,4.58,80.0,64.0,4.58,2.05,
31035528,Sam Beard,D/WB (L),26,"5'8""",0,"1,000",,30/6/2025,4058,Eastbourne Borough,Vanarama National League South,1,57,84%,64.0,89.0,14.15,12.42,3.3,89.0,64.0,3.3,2.24,
