UID,Name,Position,Age,Height,Min WD,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Poss Won/90,Pr passes/90,Pass %,Pr passes/90,Poss Lost/90,Tck/90,Pr passes/90,Hdrs W/90,Hdr %
29141826,Sam Bone,"D (RC), WB (R)",25,"6'5""",0,700,,30/6/2024,3108,Maidstone,Vanarama National League South,1,50,85.0,73.0,78.0,12.28,16.71,4.11,0.0,4.11,12.28,2.03,4.11,4.63,73.0
29233208,Kacper GruszczyÅski,D (L),20,"5'11""",0,250,,30/6/2024,3798,Warrington,Vanarama National League North,1,44,81.0,73.0,83.0,10.97,15.55,4.81,0.0,4.81,10.97,2.56,4.81,5.45,73.0
2000075967,Alex Touche,D (C),24,"6'4""",0,550,,30/6/2024,4039,Boston Utd,Vanarama National League North,1,58,89.0,73.0,83.0,9.29,14.02,4.32,0.0,4.32,9.29,0.96,4.32,9.23,73.0
28106570,Louis Hall,D/WB (L),25,"6'0""",0,180,,30/6/2024,3693,Banbury,Vanarama National League North,1,44,81.0,73.0,74.0,11.07,14.67,4.92,0.0,4.92,11.07,2.0,4.92,5.31,73.0
2000144013,Zak Johnson,D (C),19,"6'2""",0,"1,200",,30/6/2026,3943,South Shields,Vanarama National League North,1,50,91.0,73.0,83.0,7.24,14.56,8.08,0.0,8.08,7.24,0.91,8.08,5.93,73.0
29193987,Keenan Ferguson,D (R),23,"6'0""",0,350,,30/6/2025,2236,Spennymoor,Vanarama National League North,1,46,83.0,73.0,88.0,10.7,14.45,4.43,0.0,4.43,10.7,3.22,4.43,4.79,73.0
2000260847,Lewis Hudson,D (L),25,"5'9""",0,475,,31/5/2025,3921,Hereford,Vanarama National League North,1,50,82.0,72.0,84.0,12.65,12.83,5.37,0.0,5.37,12.65,2.75,5.37,3.76,72.0
28047460,Andre Wisdom,D (RC),31,"6'1""",0,120,,30/6/2024,4344,Warrington,Vanarama National League North,1,44,81.0,71.0,83.0,8.59,13.74,4.6,0.0,4.6,8.59,1.91,4.6,6.07,71.0
29218210,Nico Jones,D (C),22,"6'3""",0,0,,-,1770,Welling,Vanarama National League South,1,46,79.0,71.0,83.0,4.45,17.34,4.73,0.0,4.73,4.45,1.27,4.73,6.76,71.0
2000058107,Bobby Dailly,D (C),20,"6'0""",0,300,,30/6/2025,1108,Scarborough Athletic,Vanarama National League North,1,50,87.0,68.0,68.0,9.58,15.51,6.66,0.0,6.66,9.58,1.38,6.66,6.99,68.0
28047459,Alex Whittle,D (L),31,"5'8""",0,550,,30/6/2026,2261,Yeovil,Vanarama National League South,1,50,85.0,67.0,79.0,12.22,13.33,5.89,0.0,5.89,12.22,2.19,5.89,4.02,67.0
2000121237,Kieran Burton,D (LC),21,"6'2""",0,575,,30/6/2025,2401,Eastbourne Borough,Vanarama National League South,1,57,85.0,67.0,73.0,5.37,13.23,4.46,0.0,4.46,5.37,1.24,4.46,5.25,67.0
2000144010,Will Dowling,M (C),19,"6'2""",0,425,,30/6/2025,2702,Chester,Vanarama National League North,1,47,88.0,67.0,70.0,8.72,9.43,4.16,0.0,4.16,8.72,1.23,4.16,5.33,67.0
2000135400,Declan Hutchings,D/M (C),19,"5'11""",0,475,,30/6/2025,3879,Weston-super-Mare,Vanarama National League South,1,50,86.0,67.0,86.0,3.48,16.06,4.22,0.0,4.22,3.48,0.86,4.22,4.62,67.0
90057675,Dwayne Wiley,D (C),32,"6'1""",0,300,,30/6/2024,1551,Alfreton,Vanarama National League North,1,51,76.0,67.0,74.0,12.69,14.74,4.24,0.0,4.24,12.69,1.8,4.24,5.45,67.0
56000036,Shaun Williams,"DM, M (C)",37,"6'0""",0,750,,30/6/2025,1356,Hartlepool,Vanarama National League,1,50,91.0,66.0,76.0,8.36,12.15,4.18,0.0,4.18,8.36,1.46,4.18,3.65,66.0
28116464,Cameron Evans,D (C),23,"5'11""",0,230,,-,3220,Taunton,Vanarama National League South,1,50,83.0,66.0,74.0,3.75,16.94,4.25,0.0,4.25,3.75,0.73,4.25,5.00,66.0
90076147,Toby Lees,D (C),27,"6'3""",0,400,,30/6/2024,2444,Darlington,Vanarama National League North,1,49,82.0,66.0,75.0,9.45,12.19,5.01,0.0,5.01,9.45,1.58,5.01,5.49,66.0
2000045041,Cianole Nguepissi,D (C),20,"5'11""",0,525,,30/6/2025,3593,Torquay,Vanarama National League South,1,52,87.0,66.0,74.0,4.26,16.21,4.18,0.0,4.18,4.26,0.98,4.18,5.06,66.0
29171001,Ryan Law,D/WB (L),24,"6'0""",0,300,,30/6/2025,3764,Truro,Vanarama National League South,1,48,81.0,66.0,87.0,11.49,12.48,4.9,0.0,4.9,11.49,2.77,4.9,4.38,66.0
28028342,Blair Adams,D/WB (L),32,"5'11""",0,575,,30/6/2024,2596,South Shields,Vanarama National League North,1,50,87.0,66.0,84.0,10.64,13.56,8.18,0.0,8.18,10.64,1.77,8.18,4.61,66.0
2000058113,Kyle Smith,"D (RC), WB (R)",19,"5'8""",0,675,,30/6/2025,3891,Worthing,Vanarama National League South,1,50,89.0,65.0,85.0,3.72,14.23,4.23,0.0,4.23,3.72,0.9,4.23,5.00,65.0
29191692,Will Dean,DM,23,"5'10""",0,180,,-,3731,Truro,Vanarama National League South,1,48,87.0,64.0,77.0,6.12,11.53,4.44,0.0,4.44,6.12,1.86,4.44,3.23,64.0
90040871,Ryan Fryatt,D (C),30,"6'1""",0,400,,30/6/2024,2563,Peterborough Sports,Vanarama National League North,1,47,76.0,64.0,80.0,9.88,12.92,5.09,0.0,5.09,9.88,1.26,5.09,5.41,64.0
28059654,Will Hayhurst,D/WB (L),30,"5'9""",0,230,,30/6/2024,3868,Curzon Ashton,Vanarama National League North,1,46,81.0,64.0,80.0,12.46,11.8,4.58,0.0,4.58,12.46,2.05,4.58,3.93,64.0
29193653,Dominic Revan,D (C),23,"6'4""",0,475,,30/6/2026,2950,Hampton & Richmond,Vanarama National League South,1,50,84.0,63.0,81.0,5.46,16.41,4.48,0.0,4.48,5.46,1.31,4.48,5.13,63.0
20050511,Richard Bryan,D (R),28,"5'10""",0,825,,30/6/2024,3142,South Shields,Vanarama National League North,1,50,89.0,63.0,81.0,9.91,12.63,10.11,0.0,10.11,9.91,1.49,10.11,3.67,63.0
28124739,Cameron Jessup,D (C),21,"6'0""",0,300,,30/6/2024,4406,Darlington,Vanarama National League North,1,49,83.0,63.0,82.0,8.57,11.64,5.25,0.0,5.25,8.57,0.94,5.25,4.56,63.0
2000165812,Eduino Vaz,D (L),20,"6'0""",0,0,,-,3281,Aveley,Vanarama National League South,1,44,83.0,63.0,87.0,10.28,12.97,5.6,0.0,5.6,10.28,2.47,5.6,3.76,63.0
29159617,Mike Calveley,"DM, M (C)",24,"6'1""",0,350,,30/6/2025,4106,Chorley,Vanarama National League North,1,59,86.0,63.0,73.0,10.07,7.96,4.82,0.0,4.82,10.07,1.8,4.82,2.59,63.0
28105657,Owen Gallacher,D/WB (L),25,"5'9""",0,350,,30/6/2024,4098,Spennymoor,Vanarama National League North,1,46,84.0,63.0,86.0,10.55,13.97,5.16,0.0,5.16,10.55,2.28,5.16,3.93,63.0
29107492,Declan Weeks,"DM, M (C)",28,"5'9""",0,400,,30/6/2026,4424,Chester,Vanarama National League North,1,47,89.0,63.0,74.0,9.67,7.97,5.27,0.0,5.27,9.67,1.4,5.27,2.56,63.0
2000036792,Jevon Mills,D (C),20,"6'0""",0,825,,30/6/2024,3921,Maidstone,Vanarama National League South,1,50,83.0,62.0,74.0,4.32,16.0,4.29,0.0,4.29,4.32,0.78,4.29,5.55,62.0
2000057896,Harrison Burke,D (C),21,"6'2""",0,350,,30/6/2026,4414,Chester,Vanarama National League North,1,47,89.0,61.0,69.0,5.76,12.42,5.1,0.0,5.1,5.76,0.88,5.1,5.99,61.0
152985,Michael Bostwick,D (C),36,"6'4""",0,925,,30/6/2024,3465,Boston Utd,Vanarama National League North,1,58,85.0,61.0,81.0,11.19,8.62,5.01,0.0,5.01,11.19,1.69,5.01,5.40,61.0
52001886,Michael Smith,D/WB (R),35,"5'11""",0,"1,700",,30/6/2025,3044,Yeovil,Vanarama National League South,1,50,84.0,60.0,88.0,9.73,20.81,5.41,0.0,5.41,9.73,2.01,5.41,4.43,60.0
