UID,Name,Position,Age,Height,Min WD,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Poss Won/90,Tck R,Pas %,Drb/90,xpG_diff,Drb/90,xA/90,Shot/90,Shot %
31035528,Sam Beard,D/WB (L),26,"5'8""",0,"1,000",,30/6/2025,4058,Eastbourne Borough,Vanarama National League South,1,57,84.0,64%,89.0,14.15,12.42,89.0,84.0,1.23,0.0,1.23,0.1,0.07,33%
2000135380,Nana Owusu-Gyimah,D/WB (R),19,"5'10""",0,475,,30/6/2025,1867,Torquay,Vanarama National League South,1,52,83.0,63%,92.0,13.45,12.73,92.0,83.0,1.16,0.0,1.16,0.11,1.88,33%
89044152,Shamir Mullings,ST (C),30,"6'5""",0,140,,30/6/2025,1095,Truro,Vanarama National League South,1,48,85.0,61%,96.0,22.85,2.63,96.0,85.0,2.77,0.0,2.77,0.11,1.73,33%
2000105676,Joshua Lett,D (L),19,"5'9""",0,575,,30/6/2025,3546,Weston-super-Mare,Vanarama National League South,1,50,85.0,59%,80.0,15.13,13.83,80.0,85.0,1.17,0.0,1.17,0.04,0.10,0%
29191776,Dylan Crowe,D/WB (R),23,"5'11""",0,475,,30/6/2024,2176,King's Lynn,Vanarama National League North,1,50,79.0,59%,79.0,15.97,14.06,79.0,79.0,1.28,0.0,1.28,0.05,0.25,0%
28128056,Joe Oliver,D/WB (R),21,"6'0""",0,375,,30/6/2025,4139,Blyth,Vanarama National League North,1,64,85.0,59%,84.0,18.96,13.2,84.0,85.0,3.32,0.0,3.32,0.27,0.57,42%
29217526,Blaine Rowe,D/WB (R),22,"5'9""",0,725,,30/6/2024,3452,Darlington,Vanarama National League North,1,49,85.0,58%,84.0,15.83,12.07,84.0,85.0,1.97,0.0,1.97,0.16,0.65,36%
2000191712,Brandon Powell,D/WB (L),18,"5'11""",0,775,,30/6/2025,1170,Peterborough Sports,Vanarama National League North,1,47,82.0,58%,84.0,15.38,11.0,84.0,82.0,2.75,0.0,2.75,0.17,0.62,25%
89068522,Jack Tompkins,D (R),22,"5'8""",0,170,,30/6/2025,3916,Banbury,Vanarama National League North,1,44,84.0,57%,84.0,12.59,12.32,84.0,84.0,1.83,0.0,1.83,0.11,0.80,40%
28102600,Joel Taylor,D (L),28,"5'11""",0,400,,30/6/2024,3721,Chester,Vanarama National League North,1,47,82.0,57%,83.0,14.8,13.96,83.0,82.0,1.85,0.0,1.85,0.21,0.36,33%
