UID,Name,Position,Age,Height,Min WD,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Poss Won/90,Pr passes/90,Gls/90,NP-xG/90,xpG_diff,Sprints/90,Hdr %,Hdrs W/90,Shot/90,Shot %,Offside/90
2000117449,Harry Scarborough,"AM (R), ST (C)",23,"6'3""",725,325,Balanced,30/6/2026,3618,Bury Town,English Isthmian League North Division,0,50,0.0,0.0,63.0,0.45,0.35,0.0,0.52,0.34,0.0,0.30,0.0,0.60,3.31,,
28037033,Adam Blakeman,D/WB (L),32,"5'11""",0,525,,30/6/2024,1557,Chorley,Vanarama National League North,1,59,84.0,71.0,82.0,19.6,11.62,8.21,0.35,0.07,0.040000000000000036,17.86,71.0,3.47,1.68,34%,
85030793,R̩my Clerima,D/WB (R),33,"6'2""",0,650,,30/6/2024,1533,Maidenhead,Vanarama National League,1,50,84.0,67.0,73.0,16.32,10.8,5.23,0.35,0.21,0.0,11.74,67.0,5.64,1.53,35%,
29110719,Josh Amis,ST (C),29,"6'1""",0,230,,30/6/2024,1469,Warrington,Vanarama National League North,1,44,83.0,55.0,61.0,6.79,5.82,0.49,0.43,0.42,0.0,5.45,55.0,9.01,3.12,39%,
28048861,Jack Sampson,ST (C),31,"6'2""",0,700,,30/6/2026,3387,Chorley,Vanarama National League North,1,59,86.0,55.0,73.0,6.94,4.25,0.29,0.61,0.54,0.0,6.03,55.0,8.82,4.65,45%,
29172267,Tyler Walton,M/AM (R),25,"6'1""",0,600,,30/6/2025,3792,Southport,Vanarama National League North,1,50,84.0,52.0,80.0,14.1,8.35,2.33,0.31,0.28,0.0,14.07,52.0,4.70,2.42,42%,
29191775,Tommy Hughes,M (C),23,"5'9""",0,700,,30/6/2024,1497,King's Lynn,Vanarama National League North,1,50,82.0,51.0,78.0,11.12,8.84,3.91,0.48,0.15,0.0,9.14,51.0,2.59,1.98,42%,
94047015,Aaron Jarvis,ST (C),26,"6'2""",0,"1,500",,30/6/2026,4321,Torquay,Vanarama National League South,1,52,85.0,50.0,86.0,17.25,3.73,0.77,0.62,0.33,0.0,6.6,50.0,6.64,2.35,60%,
89063403,Gold Omotayo,ST (C),30,"6'4""",0,"1,200",,30/6/2025,2052,Kidderminster,Vanarama National League,1,50,87.0,49.0,67.0,21.62,1.45,0.75,0.39,0.27,0.0,6.45,49.0,6.05,2.85,46%,
2000109168,Emmanuel Ilesanmi,ST (C),19,"6'1""",0,0,,-,3856,Rushall,Vanarama National League North,1,50,83.0,48.0,73.0,6.07,4.27,0.28,0.51,0.37,0.0,5.37,48.0,8.19,2.66,45%,
