UID,Name,Position,Age,Height,Min WD,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Poss Won/90,Pr passes/90,Tck R,Pas %,Drb/90,xpG_diff,Drb/90,xA/90,Shot/90,Shot %
29179541,Jack James,D/WB (R),24,"6'1""",0,350,,30/6/2024,3506,St. Albans,Vanarama National League South,1,50,82.0,68.0,77.0,14.25,8.86,4.7,77.0,82.0,1.44,0.05,1.44,0.07,1.08,21%
2000144010,Will Dowling,M (C),19,"6'2""",0,425,,30/6/2025,2702,Chester,Vanarama National League North,1,47,88.0,67.0,70.0,9.24,9.43,4.16,70.0,88.0,0.73,0.04000000000000001,0.73,0.13,2.00,37%
85030793,RÃ©my Clerima,D/WB (R),33,"6'2""",0,650,,30/6/2024,1533,Maidenhead,Vanarama National League,1,50,84.0,67.0,73.0,16.32,10.8,5.23,73.0,84.0,0.88,0.0,0.88,0.06,1.53,35%
28115521,Jordan Thomas,D (R),23,"5'10""",0,425,,30/6/2027,3699,Hampton & Richmond,Vanarama National League South,1,50,84.0,66.0,83.0,13.11,11.95,5.28,83.0,84.0,1.05,0.07,1.05,0.06,1.39,18%
29171001,Ryan Law,D/WB (L),24,"6'0""",0,300,,30/6/2025,3764,Truro,Vanarama National League South,1,48,81.0,66.0,87.0,11.95,12.48,4.9,87.0,81.0,1.21,0.02,1.21,0.06,0.17,43%
28028342,Blair Adams,D/WB (L),32,"5'11""",0,575,,30/6/2024,2596,South Shields,Vanarama National League North,1,50,87.0,66.0,84.0,10.64,13.56,8.18,84.0,87.0,1.07,0.02,1.07,0.15,0.38,18%
89061033,George Carline,D/WB (R),31,"6'2""",0,825,,30/6/2024,2711,Brackley,Vanarama National League North,1,45,82.0,65.0,79.0,14.75,14.31,5.51,79.0,82.0,0.9,0.03,0.9,0.15,0.43,54%
29219537,Brad Nicholson,D (LC),25,"6'2""",0,325,,30/6/2025,2092,Boston Utd,Vanarama National League North,1,58,82.0,65.0,78.0,15.77,14.07,6.75,78.0,82.0,1.95,0.0,1.95,0.13,0.56,31%
29083573,Bradley Barry,D/WB (R),29,"5'11""",0,"1,200",,30/6/2025,4771,Eastbourne Borough,Vanarama National League South,1,57,85.0,65.0,83.0,17.86,11.81,4.0,83.0,85.0,2.43,0.0,2.43,0.18,0.43,43%
28059654,Will Hayhurst,D/WB (L),30,"5'9""",0,230,,30/6/2024,3868,Curzon Ashton,Vanarama National League North,1,46,81.0,64.0,80.0,13.46,11.8,4.58,80.0,81.0,1.36,0.009999999999999995,1.36,0.15,0.77,48%
31035528,Sam Beard,D/WB (L),26,"5'8""",0,"1,000",,30/6/2025,4058,Eastbourne Borough,Vanarama National League South,1,57,84.0,64.0,89.0,16.45,12.42,3.3,89.0,84.0,1.66,0.0,1.66,0.1,0.07,33%
29174585,Jack Bodenham,D (C),24,"6'2""",0,400,,30/6/2024,4495,Blyth,Vanarama National League North,1,64,91.0,64.0,79.0,11.32,12.99,6.95,79.0,91.0,1.65,0.02,1.65,0.07,0.40,25%
2000135380,Nana Owusu-Gyimah,D/WB (R),19,"5'10""",0,475,,30/6/2025,1867,Torquay,Vanarama National League South,1,52,83.0,63.0,92.0,14.01,12.73,4.92,92.0,83.0,1.26,0.0,1.26,0.11,1.88,33%
28105657,Owen Gallacher,D/WB (L),25,"5'9""",0,350,,30/6/2024,4098,Spennymoor,Vanarama National League North,1,46,84.0,63.0,86.0,11.39,13.97,5.16,86.0,84.0,0.83,0.009999999999999998,0.83,0.19,0.37,41%
89061641,Imran Uche,"DM, M (C)",25,"6'4""",0,600,,30/6/2024,2478,Eastbourne Borough,Vanarama National League South,1,57,87.0,63.0,74.0,8.41,11.51,3.78,74.0,87.0,0.8,0.019999999999999997,0.8,0.18,0.58,19%
29139318,Cameron James,"DM, M (C)",26,"6'0""",0,550,,30/6/2026,4191,Chelmsford,Vanarama National League South,1,56,85.0,62.0,79.0,10.72,13.72,3.52,79.0,85.0,0.76,0.019999999999999997,0.76,0.1,0.69,31%
2000074547,Sebastian Dabrowski,D (L),18,"5'11""",0,750,,30/6/2025,1004,Bath City,Vanarama National League South,1,50,89.0,62.0,81.0,13.09,16.4,5.38,81.0,89.0,1.08,0.03,1.08,0.02,0.45,0%
29187947,Tom Pugh,"DM, M (C)",23,"5'10""",0,850,,30/6/2026,1695,Scunthorpe,Vanarama National League North,1,64,89.0,62.0,81.0,10.85,7.86,4.3,81.0,89.0,1.99,0.06999999999999999,1.99,0.08,1.38,42%
2000219410,Sam Odaudu,D (L),21,"6'1""",0,300,,30/5/2025,3579,Dartford,Vanarama National League South,1,51,86.0,61.0,82.0,13.47,11.67,4.9,82.0,86.0,1.09,0.010000000000000002,1.09,0.04,0.30,17%
89044152,Shamir Mullings,ST (C),30,"6'5""",0,140,,30/6/2025,1095,Truro,Vanarama National League South,1,48,85.0,61.0,96.0,21.97,2.63,1.48,96.0,85.0,2.56,0.12999999999999998,2.56,0.11,1.73,33%
52001886,Michael Smith,D/WB (R),35,"5'11""",0,"1,700",,30/6/2025,3044,Yeovil,Vanarama National League South,1,50,84.0,60.0,88.0,9.73,20.81,5.41,88.0,84.0,0.95,0.07,0.95,0.22,1.39,11%
28028945,Lee Hodson,D (R),32,"5'11""",0,825,,30/6/2025,2929,Eastleigh,Vanarama National League,1,54,86.0,60.0,78.0,15.47,11.92,4.89,78.0,86.0,1.18,0.0,1.18,0.06,0.89,24%
2000105676,Joshua Lett,D (L),19,"5'9""",0,575,,30/6/2025,3546,Weston-super-Mare,Vanarama National League South,1,50,85.0,59.0,80.0,15.13,13.83,5.46,80.0,85.0,1.17,0.01,1.17,0.04,0.10,0%
29191776,Dylan Crowe,D/WB (R),23,"5'11""",0,475,,30/6/2024,2176,King's Lynn,Vanarama National League North,1,50,79.0,59.0,79.0,15.97,14.06,4.26,79.0,79.0,1.28,0.02,1.28,0.05,0.25,0%
28128056,Joe Oliver,D/WB (R),21,"6'0""",0,375,,30/6/2025,4139,Blyth,Vanarama National League North,1,64,85.0,59.0,84.0,26.33,13.2,7.68,84.0,85.0,6.4,0.010000000000000002,6.4,0.27,0.57,42%
29217526,Blaine Rowe,D/WB (R),22,"5'9""",0,725,,30/6/2024,3452,Darlington,Vanarama National League North,1,49,85.0,58.0,84.0,15.52,12.07,4.9,84.0,85.0,1.89,0.0,1.89,0.16,0.65,36%
2000191712,Brandon Powell,D/WB (L),18,"5'11""",0,775,,30/6/2025,1170,Peterborough Sports,Vanarama National League North,1,47,82.0,58.0,84.0,14.51,11.0,4.54,84.0,82.0,2.44,0.02,2.44,0.17,0.62,25%
29191368,James Melhado,D/WB (R),23,"6'1""",0,425,,30/6/2025,3578,Truro,Vanarama National League South,1,48,84.0,57.0,76.0,14.25,10.54,4.75,76.0,84.0,0.91,0.020000000000000004,0.91,0.05,1.06,21%
89068522,Jack Tompkins,D (R),22,"5'8""",0,170,,30/6/2025,3916,Banbury,Vanarama National League North,1,44,84.0,57.0,84.0,11.24,12.32,3.4,84.0,84.0,1.46,0.0,1.46,0.11,0.80,40%
28102600,Joel Taylor,D (L),28,"5'11""",0,400,,30/6/2024,3721,Chester,Vanarama National League North,1,47,82.0,57.0,83.0,13.96,13.96,5.9,83.0,82.0,1.65,0.02,1.65,0.21,0.36,33%
2000108275,Connor Pye,D (L),19,"5'6""",0,525,,30/6/2025,1916,Torquay,Vanarama National League South,1,52,85.0,57.0,88.0,10.81,17.05,6.15,88.0,85.0,1.54,0.0,1.54,0.17,0.38,50%
29194976,Harry Perritt,D (R),23,"6'1""",0,425,,30/6/2025,3927,Alfreton,Vanarama National League North,1,51,80.0,56.0,79.0,13.4,14.44,4.7,79.0,80.0,1.18,0.01,1.18,0.09,0.16,14%
29235372,Ethan Sephton,D (L),24,"5'11""",0,300,,30/6/2025,1960,Gloucester,Vanarama National League North,1,47,86.0,56.0,84.0,11.35,12.72,5.74,84.0,86.0,0.92,0.02,0.92,0.13,0.37,75%
52032604,Jimmy Keohane,"D/WB (RL), DM",33,"5'11""",0,925,,30/6/2024,1836,Rochdale,Vanarama National League,1,50,86.0,56.0,84.0,10.05,12.55,4.66,84.0,86.0,0.74,0.07,0.74,0.16,0.59,17%
29158753,Alex Brown,D/WB (L),25,"5'9""",0,575,,30/6/2025,4372,Scarborough Athletic,Vanarama National League North,1,50,85.0,55.0,76.0,11.73,15.5,7.12,76.0,85.0,1.13,0.01,1.13,0.09,0.25,33%
89061743,Elliot Forbes,"D (C), DM, M (C)",25,"6'4""",0,525,,30/6/2025,4337,Blyth,Vanarama National League North,1,64,90.0,55.0,82.0,9.51,9.19,5.77,82.0,90.0,1.13,0.05,1.13,0.03,0.54,50%
2000124235,Elicha Ahui,D/WB (R),20,"5'11""",0,650,,30/6/2025,4005,Peterborough Sports,Vanarama National League North,1,47,83.0,55.0,81.0,14.84,12.38,4.2,81.0,83.0,2.23,0.060000000000000005,2.23,0.3,1.08,42%
28048861,Jack Sampson,ST (C),31,"6'2""",0,700,,30/6/2026,3387,Chorley,Vanarama National League North,1,59,86.0,55.0,73.0,6.94,4.25,0.29,73.0,86.0,1.63,0.0,1.63,0.06,4.65,45%
29236904,Finley Craske,"D/WB (R), M (C)",21,"6'0""",0,650,,30/6/2026,3256,Torquay,Vanarama National League South,1,52,85.0,55.0,77.0,14.69,10.59,4.59,77.0,85.0,1.09,0.06000000000000001,1.09,0.15,1.55,23%
28058860,Adam Henley,D (RL),29,"5'10""",0,350,,30/6/2024,4337,Chorley,Vanarama National League North,1,59,85.0,55.0,83.0,13.72,12.22,6.39,83.0,85.0,1.01,0.0,1.01,0.06,0.27,38%
29142516,Jake Evans,M (C),26,"5'9""",0,170,,30/6/2024,2470,Chippenham,Vanarama National League South,1,51,87.0,55.0,81.0,11.63,9.22,4.12,81.0,87.0,1.23,0.04999999999999999,1.23,0.11,1.17,25%
29163958,Reagan Ogle,D/WB (R),25,"5'8""",0,825,,30/6/2024,3669,Scunthorpe,Vanarama National League North,1,64,88.0,54.0,83.0,17.92,13.1,7.51,83.0,88.0,2.18,0.0,2.18,0.18,0.74,33%
29085673,Kieran Weledji,D (R),28,"6'2""",0,350,,30/6/2024,3802,Scarborough Athletic,Vanarama National League North,1,50,84.0,54.0,77.0,11.72,12.81,5.26,77.0,84.0,1.16,0.0,1.16,0.19,0.43,33%
2000125523,Harry Barbrook,D (L),19,"5'11""",0,350,,30/6/2024,3168,Hemel Hempstead,Vanarama National League South,1,46,83.0,53.0,84.0,12.18,14.2,6.14,84.0,83.0,0.81,0.05,0.81,0.08,0.31,9%
29172267,Tyler Walton,M/AM (R),25,"6'1""",0,600,,30/6/2025,3792,Southport,Vanarama National League North,1,50,84.0,52.0,80.0,14.1,8.35,2.33,80.0,84.0,3.58,0.0,3.58,0.24,2.42,42%
61077642,Amadou KassaratÃ©,"DM, M (C)",28,"5'9""",0,0,,-,1230,Bishop's Stortford,Vanarama National League North,1,50,89.0,51.0,94.0,6.22,8.41,2.56,94.0,89.0,1.1,0.0,1.1,0.15,1.83,32%
29175623,Cameron Green,D (L),25,"5'9""",0,575,,30/6/2025,4135,Welling,Vanarama National League South,1,46,83.0,51.0,84.0,15.18,6.81,3.79,84.0,83.0,1.56,0.019999999999999997,1.56,0.28,0.57,38%
29191775,Tommy Hughes,M (C),23,"5'9""",0,700,,30/6/2024,1497,King's Lynn,Vanarama National League North,1,50,82.0,51.0,78.0,11.12,8.84,3.91,78.0,82.0,0.9,0.0,0.9,0.15,1.98,42%
2000182804,Ethan Moore,M/AM (R),19,"6'1""",0,575,,30/6/2024,2178,Torquay,Vanarama National League South,1,52,82.0,50.0,81.0,12.82,5.12,3.39,81.0,82.0,2.84,0.039999999999999994,2.84,0.27,1.24,43%
94047015,Aaron Jarvis,ST (C),26,"6'2""",0,"1,500",,30/6/2026,4321,Torquay,Vanarama National League South,1,52,85.0,50.0,86.0,17.25,3.73,0.77,86.0,85.0,1.02,0.0,1.02,0.16,2.35,60%
29192118,Kai Woollard-Innocent,D/WB (L),23,"5'9""",0,550,,30/6/2026,4507,Havant & W,Vanarama National League South,1,48,86.0,50.0,84.0,13.35,12.56,3.67,84.0,86.0,1.02,0.01,1.02,0.13,0.08,50%
29152568,Ben Liddle,M (C),25,"5'7""",0,525,,30/6/2024,3950,Darlington,Vanarama National League North,1,49,85.0,50.0,78.0,12.15,7.27,4.88,78.0,85.0,0.78,0.06,0.78,0.15,1.23,35%
29222576,Yusifu Ceesay,M/AM (L),29,"6'2""",0,400,,30/6/2024,3658,Hereford,Vanarama National League North,1,50,82.0,49.0,79.0,14.27,8.37,2.34,79.0,82.0,2.8,0.010000000000000009,2.8,0.18,2.07,43%
89063403,Gold Omotayo,ST (C),30,"6'4""",0,"1,200",,30/6/2025,2052,Kidderminster,Vanarama National League,1,50,87.0,49.0,67.0,21.62,1.45,0.75,67.0,87.0,0.79,0.0,0.79,0.04,2.85,46%
28095475,Jacob Berkeley-Agyepong,"M (LC), AM (L)",27,"6'0""",0,700,,30/6/2024,2480,Maidstone,Vanarama National League South,1,50,83.0,49.0,79.0,18.98,5.55,3.67,79.0,83.0,1.67,0.0,1.67,0.1,0.07,0%
37027600,Enzio Boldewijn,M/AM (RL),31,"6'1""",0,"1,400",,30/6/2025,3003,Eastleigh,Vanarama National League,1,54,80.0,49.0,83.0,23.65,5.3,2.16,83.0,80.0,3.46,0.020000000000000004,3.46,0.12,1.05,40%
29160404,Sam Fielding,"D (C), DM, M (C)",25,"6'2""",0,275,,30/6/2025,1051,Spennymoor,Vanarama National League North,1,46,86.0,49.0,70.0,8.48,9.42,3.08,70.0,86.0,1.16,0.0,1.16,0.14,0.77,33%
29191771,Kian Ronan,D/WB (R),23,"5'9""",0,575,,30/6/2024,1452,King's Lynn,Vanarama National League North,1,50,84.0,49.0,81.0,16.12,12.46,3.47,81.0,84.0,2.23,0.07,2.23,0.09,0.56,22%
28059805,Luke Coulson,M (R),30,"5'8""",0,475,,30/6/2026,1520,Dartford,Vanarama National League South,1,51,84.0,49.0,92.0,16.32,5.68,2.55,92.0,84.0,2.33,0.0,2.33,0.12,1.42,29%
90069813,Lassana Mendes,"M (RC), AM (R)",31,"5'10""",0,575,,30/6/2024,1697,Hereford,Vanarama National League North,1,50,85.0,49.0,80.0,14.32,9.18,3.18,80.0,85.0,2.44,0.04000000000000001,2.44,0.24,2.12,48%
29178502,Daniel Martin,D/WB (L),24,"5'8""",0,575,,30/6/2024,2203,Torquay,Vanarama National League South,1,52,84.0,48.0,88.0,12.68,11.77,4.62,88.0,84.0,0.87,0.04,0.87,0.22,0.53,23%
28100985,Ollie Shenton,M/AM (C),26,"5'9""",0,575,,30/6/2024,3861,Chorley,Vanarama National League North,1,59,88.0,48.0,76.0,13.13,6.71,5.1,76.0,88.0,2.79,0.0,2.79,0.16,0.98,36%
29128950,Jordan Richards,"DM, M (C)",26,"5'11""",0,475,,30/6/2024,2875,Boston Utd,Vanarama National League North,1,58,89.0,48.0,76.0,7.68,8.55,5.1,76.0,89.0,1.21,0.0,1.21,0.07,0.85,48%
28085969,George Glendon,M (C),29,"5'10""",0,875,,30/6/2024,4365,Chester,Vanarama National League North,1,47,89.0,47.0,84.0,7.76,7.77,4.66,84.0,89.0,0.87,0.010000000000000009,0.87,0.14,1.57,30%
28100363,Dan Ward,M (C),26,"5'10""",0,"1,200",,30/6/2025,1461,Oldham,Vanarama National League,1,50,87.0,47.0,93.0,17.13,8.81,3.51,93.0,87.0,1.36,0.0,1.36,0.13,0.49,75%
29235189,Keziah Martin,M (C),24,"5'10""",0,425,,30/6/2025,1621,Boston Utd,Vanarama National League North,1,58,87.0,47.0,77.0,11.76,8.44,8.0,77.0,87.0,1.5,0.05,1.5,0.22,2.17,23%
29233758,Billy Fewster,AM (L),20,"5'10""",0,475,,30/6/2025,2965,Alfreton,Vanarama National League North,1,51,80.0,46.0,86.0,14.93,8.44,2.88,86.0,80.0,4.09,0.0,4.09,0.26,1.70,43%
29217934,Finley Shrimpton,"DM, M (C)",21,"5'9""",0,575,,30/6/2025,2017,Scunthorpe,Vanarama National League North,1,64,89.0,46.0,76.0,10.35,6.43,4.73,76.0,89.0,1.57,0.0,1.57,0.13,1.07,33%
29163921,Tom Clifford,D/WB (L),24,"5'8""",0,"1,000",,30/6/2025,3307,King's Lynn,Vanarama National League North,1,50,85.0,46.0,80.0,13.5,11.97,3.62,80.0,85.0,1.77,0.0,1.77,0.16,0.71,50%
90091780,Connor Woods,AM (R),26,"5'8""",0,350,,30/6/2024,3734,Warrington,Vanarama National League North,1,44,84.0,45.0,85.0,13.11,8.7,3.18,85.0,84.0,2.38,0.04999999999999999,2.38,0.28,1.83,36%
2000108081,MatÃºÅ¡ HolÃ­Äek,AM (L),19,"6'0""",0,575,,30/6/2025,3649,South Shields,Vanarama National League North,1,50,84.0,45.0,94.0,12.85,6.24,2.84,94.0,84.0,3.23,0.010000000000000009,3.23,0.19,2.27,45%
2000124240,Hayden Pickard,D/WB (L),18,"5'10""",0,475,,30/6/2026,2665,Boston Utd,Vanarama National League North,1,58,81.0,45.0,87.0,16.96,12.9,7.02,87.0,81.0,3.13,0.0,3.13,0.1,0.17,60%
29233076,Osazee Aghatise,M (C),21,"5'11""",0,575,,30/6/2025,3732,South Shields,Vanarama National League North,1,50,89.0,45.0,77.0,8.44,6.46,2.94,77.0,89.0,1.09,0.0,1.09,0.15,2.44,33%
2000189964,Michael Adu-Poku,ST (C),18,"6'2""",0,825,,30/6/2025,1054,Welling,Vanarama National League South,1,46,87.0,45.0,85.0,17.87,1.02,0.85,85.0,87.0,1.09,0.0,1.09,0.03,1.62,53%
29173985,Alfie Payne,"DM, M (C)",24,"5'10""",0,350,,30/6/2025,4046,Braintree,Vanarama National League South,1,50,88.0,44.0,82.0,7.79,11.63,4.76,82.0,88.0,0.76,0.0,0.76,0.13,0.60,33%
29164662,Justin Amaluzor,AM (R),27,"6'0""",0,875,,30/5/2025,1268,Altrincham,Vanarama National League,1,50,85.0,44.0,75.0,15.76,4.26,2.27,75.0,85.0,2.91,0.09999999999999998,2.91,0.2,1.92,44%
29113873,Tyler Denton,D (L),28,"5'9""",0,"1,100",,30/6/2024,3139,Scunthorpe,Vanarama National League North,1,64,85.0,44.0,76.0,13.69,11.67,5.62,76.0,85.0,1.44,0.0,1.44,0.1,0.52,22%
2000040253,Harrison Nejman,M (C),20,"5'10""",0,"1,000",,30/6/2025,2383,Alfreton,Vanarama National League North,1,51,85.0,43.0,77.0,8.79,6.53,1.93,77.0,85.0,1.81,0.0,1.81,0.16,1.25,33%
29194672,Will Dawes,M/AM (L),23,"6'1""",0,525,,30/6/2024,1093,Yeovil,Vanarama National League South,1,50,84.0,43.0,90.0,18.69,3.95,1.32,90.0,84.0,2.8,0.0,2.8,0.12,2.39,45%
2000120283,Ryan Carr,"D (R), DM, M (C)",19,"5'10""",0,575,,30/6/2025,2861,Dartford,Vanarama National League South,1,51,88.0,42.0,75.0,7.03,13.31,3.59,75.0,88.0,0.85,0.0,0.85,0.19,0.79,32%
90091351,Nathan Newall,D/WB (L),22,"6'0""",0,0,,-,3796,Alfreton,Vanarama National League North,1,51,80.0,42.0,79.0,12.34,13.8,4.41,79.0,80.0,1.42,0.03,1.42,0.08,0.38,19%
29243910,Tyrese Briscoe,"AM (L), ST (C)",21,"6'0""",0,500,,30/6/2025,3706,Hemel Hempstead,Vanarama National League South,1,46,86.0,42.0,91.0,17.16,4.86,1.65,91.0,86.0,2.24,0.09,2.24,0.11,1.36,30%
28116004,Tyrese Dyce,M/AM (L),23,"5'9""",0,350,,-,3668,Slough,Vanarama National League South,1,50,85.0,41.0,89.0,17.15,4.51,2.21,89.0,85.0,2.92,0.0,2.92,0.12,1.18,40%
2000117453,Matty Grivosti,AM (L),21,"5'10""",0,300,,30/6/2024,2502,Warrington,Vanarama National League North,1,44,82.0,40.0,84.0,12.59,9.17,2.77,84.0,82.0,1.89,0.0,1.89,0.18,1.37,26%
29194204,Oliver Pendlebury,M (C),22,"5'9""",0,400,,30/6/2024,4467,Farnborough,Vanarama National League South,1,51,88.0,40.0,83.0,12.54,16.48,3.77,83.0,88.0,0.83,0.009999999999999995,0.83,0.16,0.93,35%
2000116243,Mohammad Dabre,M (C),21,"6'0""",0,525,,-,2617,Tonbridge,Vanarama National League South,1,48,86.0,40.0,75.0,15.05,10.42,3.47,75.0,86.0,1.1,0.0,1.1,0.14,1.10,34%
5124487,Nicky Deverdics,M (C),36,"6'0""",0,250,,30/6/2025,4388,Blyth,Vanarama National League North,1,64,88.0,40.0,87.0,16.61,5.85,8.88,87.0,88.0,1.93,0.0,1.93,0.2,1.54,48%
29107438,Jack Bridge,AM (L),28,"5'10""",0,"1,700",,30/6/2025,3644,Southend,Vanarama National League,1,50,87.0,39.0,83.0,14.25,11.73,4.08,83.0,87.0,2.03,0.0,2.03,0.12,0.05,50%
33068775,Scott Beeks,AM (C),24,"6'2""",0,550,,30/6/2025,3854,Blyth,Vanarama National League North,1,64,86.0,39.0,62.0,12.03,4.11,3.18,62.0,86.0,4.75,0.0,4.75,0.18,2.71,37%
2000060517,Tolu Ladapo,AM (L),20,"5'9""",0,475,,30/6/2025,1146,Weymouth,Vanarama National League South,1,50,86.0,39.0,68.0,15.24,4.01,1.73,68.0,86.0,2.28,0.0,2.28,0.05,1.10,29%
2000190582,Destiny Ojo,"AM (RL), ST (C)",18,"6'0""",0,500,,30/6/2025,2077,Taunton,Vanarama National League South,1,50,86.0,39.0,79.0,22.88,4.55,1.82,79.0,86.0,1.91,0.01999999999999999,1.91,0.08,1.30,47%
29233888,Matty McDonald,M/AM (C),21,"6'4""",0,450,,30/6/2025,3562,Warrington,Vanarama National League North,1,44,86.0,39.0,82.0,8.62,8.72,3.03,82.0,86.0,1.23,0.06,1.23,0.13,1.59,35%
2000054977,AndrÃ© Godfrinne,ST (C),21,"6'1""",0,180,,30/6/2024,2017,Bishop's Stortford,Vanarama National League North,1,50,86.0,39.0,71.0,5.44,3.66,0.49,71.0,86.0,0.85,0.04999999999999999,0.85,0.03,2.36,47%
