UID,Name,Position,Age,Height,Min WD,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Poss Won/90,Tck R,Pas %,Drb/90,xpG_diff,Drb/90,xA/90,Shot/90,Shot %
89061743,Elliot Forbes,"D (C), DM, M (C)",25,"6'4""",0,525,,30/6/2025,4337,Blyth,Vanarama National League North,1,64,90.0,55.0,82.0,13.21,9.19,82.0,90.0,2.18,0.05,2.18,0.03,0.54,50%
2000124235,Elicha Ahui,D/WB (R),20,"5'11""",0,650,,30/6/2025,4005,Peterborough Sports,Vanarama National League North,1,47,83.0,55.0,81.0,14.0,12.38,81.0,83.0,1.98,0.060000000000000005,1.98,0.3,1.08,42%
28048861,Jack Sampson,ST (C),31,"6'2""",0,700,,30/6/2026,3387,Chorley,Vanarama National League North,1,59,86.0,55.0,73.0,8.46,4.25,73.0,86.0,2.43,0.0,2.43,0.06,4.65,45%
28058860,Adam Henley,D (RL),29,"5'10""",0,350,,30/6/2024,4337,Chorley,Vanarama National League North,1,59,85.0,55.0,83.0,16.73,12.22,83.0,85.0,1.5,0.0,1.5,0.06,0.27,38%
29163958,Reagan Ogle,D/WB (R),25,"5'8""",0,825,,30/6/2024,3669,Scunthorpe,Vanarama National League North,1,64,88.0,54.0,83.0,24.89,13.1,83.0,88.0,4.21,0.0,4.21,0.18,0.74,33%
29172267,Tyler Walton,M/AM (R),25,"6'1""",0,600,,30/6/2025,3792,Southport,Vanarama National League North,1,50,84.0,52.0,80.0,14.1,8.35,80.0,84.0,3.58,0.0,3.58,0.24,2.42,42%
2000182804,Ethan Moore,M/AM (R),19,"6'1""",0,575,,30/6/2024,2178,Torquay,Vanarama National League South,1,52,82.0,50.0,81.0,13.35,5.12,81.0,82.0,3.08,0.039999999999999994,3.08,0.27,1.24,43%
29222576,Yusifu Ceesay,M/AM (L),29,"6'2""",0,400,,30/6/2024,3658,Hereford,Vanarama National League North,1,50,82.0,49.0,79.0,14.27,8.37,79.0,82.0,2.8,0.010000000000000009,2.8,0.18,2.07,43%
28095475,Jacob Berkeley-Agyepong,"M (LC), AM (L)",27,"6'0""",0,700,,30/6/2024,2480,Maidstone,Vanarama National League South,1,50,83.0,49.0,79.0,18.98,5.55,79.0,83.0,1.67,0.0,1.67,0.1,0.07,0%
37027600,Enzio Boldewijn,M/AM (RL),31,"6'1""",0,"1,400",,30/6/2025,3003,Eastleigh,Vanarama National League,1,54,80.0,49.0,83.0,25.71,5.3,83.0,80.0,4.09,0.020000000000000004,4.09,0.12,1.05,40%
29191771,Kian Ronan,D/WB (R),23,"5'9""",0,575,,30/6/2024,1452,King's Lynn,Vanarama National League North,1,50,84.0,49.0,81.0,16.12,12.46,81.0,84.0,2.23,0.07,2.23,0.09,0.56,22%
28059805,Luke Coulson,M (R),30,"5'8""",0,475,,30/6/2026,1520,Dartford,Vanarama National League South,1,51,84.0,49.0,92.0,16.65,5.68,92.0,84.0,2.43,0.0,2.43,0.12,1.42,29%
90069813,Lassana Mendes,"M (RC), AM (R)",31,"5'10""",0,575,,30/6/2024,1697,Hereford,Vanarama National League North,1,50,85.0,49.0,80.0,14.32,9.18,80.0,85.0,2.44,0.04000000000000001,2.44,0.24,2.12,48%
28100985,Ollie Shenton,M/AM (C),26,"5'9""",0,575,,30/6/2024,3861,Chorley,Vanarama National League North,1,59,88.0,48.0,76.0,16.01,6.71,76.0,88.0,4.15,0.0,4.15,0.16,0.98,36%
29128950,Jordan Richards,"DM, M (C)",26,"5'11""",0,475,,30/6/2024,2875,Boston Utd,Vanarama National League North,1,58,89.0,48.0,76.0,9.14,8.55,76.0,89.0,1.71,0.0,1.71,0.07,0.85,48%
29235189,Keziah Martin,M (C),24,"5'10""",0,425,,30/6/2025,1621,Boston Utd,Vanarama National League North,1,58,87.0,47.0,77.0,14.0,8.44,77.0,87.0,2.13,0.05,2.13,0.22,2.17,23%
29233758,Billy Fewster,AM (L),20,"5'10""",0,475,,30/6/2025,2965,Alfreton,Vanarama National League North,1,51,80.0,46.0,86.0,15.23,8.44,86.0,80.0,4.26,0.0,4.26,0.26,1.70,43%
29217934,Finley Shrimpton,"DM, M (C)",21,"5'9""",0,575,,30/6/2025,2017,Scunthorpe,Vanarama National League North,1,64,89.0,46.0,76.0,14.37,6.43,76.0,89.0,3.03,0.0,3.03,0.13,1.07,33%
