UID,Name,Pas %,xA/90,Poss Lost/90
28124739,Cameron Jessup,83%,0.03,8.91
2000165812,Eduino Vaz,83%,0.13,12.89
29159617,Mike Calveley,86%,0.07,6.77
2000198889,Will Larvin,85%,0.01,4.5
29072357,Tom Platt,87%,0.11,8.31
28105657,Owen Gallacher,84%,0.19,12.3
89061641,Imran Uche,87%,0.18,7.23
29005706,Josh Coulson,83%,0.02,8.96
29107492,Declan Weeks,89%,0.18,10.86
2000166425,Casey Shann,85%,0.1,15.01
2000142141,Nathan James,88%,0.06,4.36
2000036792,Jevon Mills,83%,0.05,4.32
29139318,Cameron James,85%,0.1,9.43
29031124,Chris Atkinson,86%,0.12,9.24
2000074547,Sebastian Dabrowski,89%,0.02,13.09
29187947,Tom Pugh,89%,0.08,7.81
2000057896,Harrison Burke,89%,0.03,6.48
152985,Michael Bostwick,85%,0.11,7.9
2000219410,Sam Odaudu,86%,0.04,13.2
89044152,Shamir Mullings,85%,0.11,22.85
52001886,Michael Smith,84%,0.22,9.73
2000107842,Harrison Clark,90%,0.01,9.72
5113684,John White,87%,0.04,4.52
5109673,Martin Woods,84%,0.28,10.75
28028945,Lee Hodson,86%,0.06,14.23
20044986,Callum Ross,87%,0.13,6.7
29233083,Andres De Gracia,87%,0.17,8.74
2000105676,Joshua Lett,85%,0.04,15.13
2000077960,Azeem Abdulai,89%,0.19,5.5
28128056,Joe Oliver,85%,0.27,18.96
2000146810,Owen Cochrane,84%,0.06,10.91
2000059228,Leo Hamblin,82%,0.07,15.14
29217427,Aaron Skinner,82%,0.07,11.58
29217526,Blaine Rowe,85%,0.16,15.83
2000191712,Brandon Powell,82%,0.17,15.38
94001969,Gareth Dean,86%,0.04,8.08
29191368,James Melhado,84%,0.05,14.82
89068522,Jack Tompkins,84%,0.11,12.59
28102600,Joel Taylor,82%,0.21,14.8
2000108275,Connor Pye,85%,0.17,10.38
2000201092,Evan Humphries,85%,0.08,13.64
29194976,Harry Perritt,80%,0.09,13.13
29235372,Ethan Sephton,86%,0.13,12.03
52032604,Jimmy Keohane,86%,0.16,10.05
31037585,Joel Colbran,84%,0.08,10.64
29110719,Josh Amis,83%,0.07,7.6
29226255,Josh Owers,90%,0.15,5.64
28121648,Lucas Defise,88%,0.14,7.52
29158753,Alex Brown,85%,0.09,11.73
89061743,Elliot Forbes,90%,0.03,6.85
2000124235,Elicha Ahui,83%,0.3,15.73
28048861,Jack Sampson,86%,0.06,5.69
29236904,Finley Craske,85%,0.15,14.1
28058860,Adam Henley,85%,0.06,11.25
29142516,Jake Evans,87%,0.11,11.4
29163958,Reagan Ogle,88%,0.18,12.9
31036053,Ansu Janneh,89%,0.34,10.0
29163923,Lewis Gard,87%,0.1,12.7
29085673,Kieran Weledji,84%,0.19,11.72
2000224402,Dan Barton,88%,0.12,7.01
29240108,Tom Sparrow,91%,0.14,7.12
29236446,Alex Aoraha,90%,0.15,7.5
2000009603,Ryan Lowe,87%,0.27,8.03
5133909,Asa Hall,88%,0.09,13.35
5120074,Anthony Grant,88%,0.16,11.05
2000125523,Harry Barbrook,83%,0.08,13.15
28017257,Oscar Gobern,88%,0.11,11.81
2002081381,Aidan Ireland,81%,0.13,11.82
2000066150,Harrison Sodje,87%,0.07,17.36
2000044791,Ben Watt,90%,0.13,7.58
29172267,Tyler Walton,84%,0.24,14.1
29138933,Matt Worthington,89%,0.13,9.57
61077642,Amadou Kassarat̩,89%,0.15,6.22
28084830,Jordan Lyden,87%,0.09,7.4
29175623,Cameron Green,83%,0.28,16.39
29191775,Tommy Hughes,82%,0.15,11.12
2000182804,Ethan Moore,82%,0.27,12.31
94047015,Aaron Jarvis,85%,0.16,16.56
29234484,Jack Smith,90%,0.15,7.64
29192118,Kai Woollard-Innocent,86%,0.13,13.88
90012441,Alex Kenyon,85%,0.06,7.46
29152568,Ben Liddle,85%,0.15,12.39
28093272,Charlie Cooper,88%,0.06,6.98
29222576,Yusifu Ceesay,82%,0.18,14.27
89063403,Gold Omotayo,87%,0.04,21.62
28095475,Jacob Berkeley-Agyepong,83%,0.1,18.98
37027600,Enzio Boldewijn,80%,0.12,21.76
29160404,Sam Fielding,86%,0.14,9.16
28060559,Callum Reilly,87%,0.09,6.52
28116915,Bivesh Gurung,89%,0.16,9.29
29005307,Joe Partington,87%,0.04,7.64
29191771,Kian Ronan,84%,0.09,16.12
28059805,Luke Coulson,84%,0.12,15.99
90069813,Lassana Mendes,85%,0.24,14.32
29210000,Matty Williams,87%,0.01,8.23
29178502,Daniel Martin,84%,0.22,12.17
2000144017,Marshall Burke,88%,0.3,11.57
28100985,Ollie Shenton,88%,0.16,10.77
29128950,Jordan Richards,89%,0.07,6.45
2000117899,Osman Foyo,87%,0.1,7.43
28029361,Jake Taylor,89%,0.1,7.45
2000109168,Emmanuel Ilesanmi,83%,0.04,6.07
28085969,George Glendon,89%,0.14,8.23
2000144681,Engwau Oduka,87%,0.05,7.29
28100363,Dan Ward,87%,0.13,17.13
