Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck
name,age,wage,height,season,mins,dist_90,position,club,nat,personality,weight,transfer_value,expires,sv_pct,svh,svp,svt,goals_against,clean_sheets,pen_saves,pen_missed,poss_lost_90,pr_passes_90,tck_r,defensive_score,int_90,poss_won_90,tck_90,tck_r,hdr_w_90,hdr_pct,clr_90,blk_90,turn_diff,poss_won_90,poss_lost_90,pr_passes_90,pas_pct,pas_a_90,xa_90,drb_90,cr_c_90,crs_a_90,crs_pct,xpg_diff,shot_pct,shot_pct,hdrs_w_90,sprint_90,off,off_90,np_xg_90,gls_90,xgp,xgp_90
Blair Adams,32,575,"5'11""",1,3757.0,13.0,D/WB (L),South Shields,ENG,,72 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,10.06,6.61,84.0,2,2.25,12.38,2.2,84.0,,62.0,1.29,0.69,2.32,12.38,10.06,6.61,88.0,,0.18,1.03,0.81,4.29,5.26,-0.02,41.0,41.0,3.14,,3.0,0.07186585041256321,0.04,0.02,0.0,0.0
Tom Allan,29,350,"6'4""",1,3819.0,11.4,D (C),Farsley,ENG,,84 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,11.69,5.18,76.0,1,1.08,12.84,1.3,76.0,,78.0,2.0,0.68,1.15,12.84,11.69,5.18,80.0,,0.06,0.24,0.19,1.6,8.5,0.04,46.0,46.0,7.14,,0.0,0.0,0.03,0.07,0.0,0.0
Daniel Dobbin,23,0,"6'1""",1,426.0,11.8,D (R),Crumlin Utd,IRL,,78 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,9.93,5.28,75.0,2,1.27,16.69,2.54,75.0,,78.0,1.48,0.85,6.76,16.69,9.93,5.28,86.0,,0.03,0.42,1.06,3.59,3.4,-0.06,40.0,40.0,6.13,,0.0,0.0,0.27,0.21,0.0,0.0
Conor Branson,32,300,"6'2""",1,1079.0,13.1,"DM, M (C)",Farsley,ENG,,77 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,10.76,4.75,67.0,1,1.58,11.68,1.67,67.0,,69.0,1.58,0.83,0.92,11.68,10.76,4.75,83.0,,0.07,0.42,0.17,0.25,1.5,0.03,31.0,31.0,5.51,,1.0,0.08341056533827618,0.05,0.08,0.0,0.0
Jassem Sukar,27,300,"5'11""",1,982.0,11.9,D (LC),Darlington,ENG,,78 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,9.62,5.22,61.0,1,1.83,12.19,1.01,61.0,,63.0,1.1,0.46,2.57,12.19,9.62,5.22,80.0,,0.01,0.27,0.0,0.55,0.0,-0.01,0.0,0.0,4.58,,0.0,0.0,0.01,0.0,0.0,0.0
Jordan Cullinane-Liburd,28,230,"6'3""",1,1832.0,12.5,D (C),Tamworth,ENG,,98 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,16.65,6.24,86.0,2,2.41,16.8,2.8,86.0,,79.0,2.8,0.44,0.15,16.8,16.65,6.24,82.0,,0.06,0.39,0.25,2.26,9.2,0.01,40.0,40.0,6.24,,0.0,0.0,0.04,0.05,0.0,0.0
James O'Brien,33,0,"6'0""",1,360.0,11.4,M (C),Bluebell Utd,IRL,,74 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,13.5,6.0,100.0,2,2.0,21.5,1.0,100.0,,27.0,2.25,0.75,8.0,21.5,13.5,6.0,95.0,,0.11,0.5,0.75,4.75,6.33,-0.03,0.0,0.0,0.75,,0.0,0.0,0.03,0.0,0.0,0.0
Jordaan Brown,32,120,"6'2""",1,3083.0,11.2,D (C),Rushall,ENG,,85 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,8.96,4.41,74.0,1,1.61,13.84,1.23,74.0,,73.0,2.19,0.35,4.88,13.84,8.96,4.41,86.0,,0.04,0.12,0.09,0.96,11.0,0.03,29.0,29.0,5.34,,0.0,0.0,0.03,0.09,0.0,0.0
Keenan Quansah,26,350,"6'4""",1,2610.0,12.0,D (RC),Southport,ENG,,80 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,11.72,4.0,77.0,1,1.66,16.0,1.93,77.0,,80.0,1.62,0.31,4.28,16.0,11.72,4.0,81.0,,0.08,0.69,0.21,1.66,8.0,0.03,47.0,47.0,7.9,,0.0,0.0,0.04,0.07,0.0,0.0
Ryan Fryatt,30,400,"6'1""",1,1486.0,11.6,D (C),Peterborough Sports,ENG,,84 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,10.48,4.78,76.0,1,1.64,12.84,1.15,76.0,,63.0,2.48,0.61,2.36,12.84,10.48,4.78,78.0,,0.02,0.0,0.06,0.24,4.0,-0.01,50.0,50.0,5.51,,0.0,0.0,0.01,0.0,0.0,0.0
