Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck
name,age,wage,height,season,mins,dist_90,position,club,nat,personality,weight,transfer_value,expires,sv_pct,svh,svp,svt,goals_against,clean_sheets,pen_saves,pen_missed,poss_lost_90,pr_passes_90,tck_r,defensive_score,int_90,poss_won_90,tck_90,tck_r,hdr_w_90,hdr_pct,clr_90,blk_90,turn_diff,poss_won_90,poss_lost_90,pr_passes_90,pas_pct,pas_a_90,xa_90,drb_90,cr_c_90,crs_a_90,crs_pct,xpg_diff,shot_pct,shot_pct,hdrs_w_90,sprint_90,off,off_90,np_xg_90,gls_90,xgp,xgp_90
Daniel Dobbin,23,0,"6'1""",1,426.0,11.8,D (R),Crumlin Utd,IRL,,78 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,9.93,5.28,75.0,2,1.27,16.69,2.54,75.0,,78.0,1.48,0.85,6.76,16.69,9.93,5.28,86.0,,0.03,0.42,1.06,3.59,3.4,-0.06,40.0,40.0,6.13,,0.0,0.0,0.27,0.21,0.0,0.0
Jordan Cullinane-Liburd,28,230,"6'3""",1,1832.0,12.5,D (C),Tamworth,ENG,,98 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,16.65,6.24,86.0,2,2.41,16.8,2.8,86.0,,79.0,2.8,0.44,0.15,16.8,16.65,6.24,82.0,,0.06,0.39,0.25,2.26,9.2,0.01,40.0,40.0,6.24,,0.0,0.0,0.04,0.05,0.0,0.0
Corey Hurford,19,240,"5'9""",1,381.0,0.0,AM (C),Briton Ferry,WAL,,68 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,86.0,0,0.0,0.0,1.42,86.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,,0.17,0.0,0.0,0.0,0.0,-0.49,44.0,44.0,0.0,,0.0,0.0,0.49,0.0,0.0,0.0
Josh Amis,29,230,"6'1""",1,553.0,13.3,ST (C),Warrington,ENG,,92 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,7.65,0.49,78.0,1,1.3,6.51,1.14,78.0,,52.0,0.49,0.16,-1.14,6.51,7.65,0.49,80.0,,0.01,0.33,0.16,0.33,2.0,-0.33,43.0,43.0,8.95,,8.0,1.301989150090416,0.66,0.33,0.0,0.0
Sodiq Oguntola,30,0,"5'11""",1,450.0,11.6,ST (C),Bluebell Utd,NGA,,80 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,17.2,0.6,100.0,1,1.2,3.8,1.2,100.0,,36.0,0.2,0.2,-13.4,3.8,17.2,0.6,90.0,,0.08,1.4,0.0,0.6,0.0,-0.04,50.0,50.0,4.2,,6.0,1.2000000000000002,0.24,0.2,0.0,0.0
Keenan Quansah,26,350,"6'4""",1,2610.0,12.0,D (RC),Southport,ENG,,80 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,11.72,4.0,77.0,1,1.66,16.0,1.93,77.0,,80.0,1.62,0.31,4.28,16.0,11.72,4.0,81.0,,0.08,0.69,0.21,1.66,8.0,0.03,47.0,47.0,7.9,,0.0,0.0,0.04,0.07,0.0,0.0
Ryan Fryatt,30,400,"6'1""",1,1486.0,11.6,D (C),Peterborough Sports,ENG,,84 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,10.48,4.78,76.0,1,1.64,12.84,1.15,76.0,,63.0,2.48,0.61,2.36,12.84,10.48,4.78,78.0,,0.02,0.0,0.06,0.24,4.0,-0.01,50.0,50.0,5.51,,0.0,0.0,0.01,0.0,0.0,0.0
Isaac Assenso,26,230,"6'3""",1,1703.0,11.9,D (C),Farsley,ENG,,70 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,10.68,4.86,79.0,2,1.96,12.84,1.59,79.0,,76.0,1.85,0.69,2.16,12.84,10.68,4.86,82.0,,0.03,0.53,0.16,2.54,16.0,0.02,39.0,39.0,7.87,,1.0,0.052847915443335294,0.09,0.11,0.0,0.0
Jamal Ibrahim,22,0,"5'10""",1,300.0,11.2,ST (C),Monaghan Utd,IRL,,73 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,15.6,0.6,50.0,0,0.6,2.4,0.6,50.0,,32.0,0.6,0.0,-13.2,2.4,15.6,0.6,90.0,,0.17,0.9,0.0,0.9,0.0,0.25,100.0,100.0,3.3,,2.0,0.6000000000000001,0.05,0.3,0.0,0.0
Archie Sheppard,19,180,"6'3""",1,172.0,10.6,D (C),Alfreton,ENG,,81 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,6.28,3.66,100.0,1,1.05,8.37,1.05,100.0,,100.0,1.05,1.05,2.09,8.37,6.28,3.66,80.0,,0.11,0.0,0.0,0.0,0.0,-0.08,100.0,100.0,6.8,,0.0,0.0,0.08,0.0,0.0,0.0
Nathan Cameron,32,575,"6'2""",1,2732.0,11.1,D (C),Hereford,ENG,,78 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,8.14,2.47,76.0,1,1.25,11.66,0.63,76.0,,71.0,1.61,0.4,3.52,11.66,8.14,2.47,85.0,,0.02,0.0,0.0,0.16,0.0,0.0,46.0,46.0,5.9,,0.0,0.0,0.03,0.03,0.0,0.0
Chris Hull,25,0,"6'1""",1,360.0,10.6,ST (C),Ringmahon,IRL,,79 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,20.25,0.5,75.0,1,0.5,3.25,1.5,75.0,,35.0,0.0,0.25,-17.0,3.25,20.25,0.5,82.0,,0.27,0.5,0.0,0.5,0.0,0.42,63.0,63.0,4.5,,3.0,0.75,0.33,0.75,0.0,0.0
Oliver Southern,22,400,"6'0""",1,2765.0,12.5,D/WB (R),Hereford,ENG,,80 kg,Unknown,,0.0,0.0,0.0,0.0,,0.0,,,13.74,4.92,85.0,2,2.28,15.92,2.15,85.0,,77.0,1.95,0.59,2.18,15.92,13.74,4.92,82.0,,0.11,1.14,0.59,3.35,5.72,-0.08,18.0,18.0,7.91,,0.0,0.0,0.08,0.0,0.0,0.0
